1712596776315601920 ('EPT', 'BID') 3 4474 25
[REJECTED] 1712596975583303775 ('BRV', 'BID')
[REJECTED] 1712596975583303776 ('BRV', 'ASK')
[REJECTED] 1712596975583303779 ('EPT', 'BID')
[REJECTED] 1712596975583303780 ('EPT', 'ASK')
[REJECTED] 1712596975583303781 ('EPT', 'BID')
[REJECTED] 1712596975583303782 ('EPT', 'ASK')
[REJECTED] 1712596975583303783 ('DLO', 'BID')
[REJECTED] 1712596975583303784 ('DLO', 'ASK')
[REJECTED] 1712596975583303785 ('DLO', 'BID')
[REJECTED] 1712596975583303786 ('DLO', 'ASK')
[REJECTED] 1712596975583303787 ('DLO', 'BID')
[REJECTED] 1712596975583303788 ('DLO', 'ASK')
[REJECTED] 1712596975583303789 ('MKU', 'BID')
[REJECTED] 1712596975583303790 ('MKU', 'ASK')
[REJECTED] 1712596975583303791 ('MKU', 'BID')
[REJECTED] 1712596975583303792 ('MKU', 'ASK')
[REJECTED] 1712596975583303793 ('MKU', 'BID')
[REJECTED] 1712596975583303794 ('MKU', 'ASK')
[REJECTED] 1712596975583303795 ('IGM', 'BID')
[REJECTED] 1712596975583303796 ('IGM', 'ASK')
[REJECTED] 1712596975583303797 ('IGM', 'BID')
[REJECTED] 1712596975583303798 ('IGM', 'ASK')
[REJECTED] 1712596975583303799 ('IGM', 'BID')
[REJECTED] 1712596975583303800 ('IGM', 'ASK')
[REJECTED] 1712596975583303801 ('BRV', 'BID')
[REJECTED] 1712596975583303802 ('BRV', 'ASK')
[REJECTED] 1712596975583303803 ('BRV', 'BID')
[REJECTED] 1712596975583303804 ('BRV', 'ASK')
[REJECTED] 1712596975583303805 ('BRV', 'BID')
[REJECTED] 1712596975583303806 ('BRV', 'ASK')
1712596975583303769 ('DLO', 'BID') 3 4810 0
[CANCELLED] 1712596975583303767 ('EPT', 'BID')
[CANCELLED] 1712596975583303777 ('EPT', 'BID')
[CANCELLED] 1712596975583303778 ('EPT', 'ASK')
[REJECTED] 1712596975583303807 ('SCP', 'BID')
[REJECTED] 1712596975583303808 ('SCP', 'BID')
[REJECTED] 1712596975583303809 ('SCP', 'BID')
[REJECTED] 1712596975583303810 ('SCP', 'BID')
1712596975583303811 ('EPT', 'BID') 16 4799 3
1712596975583303813 ('DLO', 'BID') 3 4778 19
[REJECTED] 1712596975583303815 ('MKU', 'BID')
[REJECTED] 1712596975583303816 ('MKU', 'ASK')
1712596975583303817 ('IGM', 'BID') 3 5190 33
[REJECTED] 1712596975583303819 ('BRV', 'BID')
[REJECTED] 1712596975583303820 ('BRV', 'ASK')
[REJECTED] 1712596975583303822 ('EPT', 'ASK')
[REJECTED] 1712596975583303823 ('EPT', 'BID')
[REJECTED] 1712596975583303824 ('EPT', 'ASK')
[REJECTED] 1712596975583303826 ('DLO', 'BID')
[REJECTED] 1712596975583303827 ('DLO', 'ASK')
[REJECTED] 1712596975583303828 ('DLO', 'BID')
[REJECTED] 1712596975583303829 ('DLO', 'ASK')
[REJECTED] 1712596975583303830 ('DLO', 'BID')
[REJECTED] 1712596975583303831 ('DLO', 'ASK')
[REJECTED] 1712596975583303832 ('MKU', 'BID')
[REJECTED] 1712596975583303833 ('MKU', 'ASK')
[REJECTED] 1712596975583303834 ('MKU', 'BID')
[REJECTED] 1712596975583303835 ('MKU', 'ASK')
[REJECTED] 1712596975583303836 ('MKU', 'BID')
[REJECTED] 1712596975583303837 ('MKU', 'ASK')
[REJECTED] 1712596975583303838 ('IGM', 'BID')
[REJECTED] 1712596975583303839 ('IGM', 'ASK')
[REJECTED] 1712596975583303840 ('IGM', 'BID')
[REJECTED] 1712596975583303841 ('IGM', 'ASK')
[REJECTED] 1712596975583303842 ('IGM', 'BID')
[REJECTED] 1712596975583303843 ('IGM', 'ASK')
[REJECTED] 1712596975583303844 ('BRV', 'BID')
[REJECTED] 1712596975583303845 ('BRV', 'ASK')
[REJECTED] 1712596975583303846 ('BRV', 'BID')
[REJECTED] 1712596975583303847 ('BRV', 'ASK')
[REJECTED] 1712596975583303848 ('BRV', 'BID')
[REJECTED] 1712596975583303849 ('BRV', 'ASK')
[CANCELLED] 1712596975583303812 ('EPT', 'ASK')
[CANCELLED] 1712596975583303814 ('DLO', 'ASK')
[CANCELLED] 1712596975583303818 ('IGM', 'ASK')
[CANCELLED] 1712596975583303821 ('EPT', 'BID')
[CANCELLED] 1712596975583303825 ('EPT', 'BID')
[REJECTED] 1712596975583303850 ('SCP', 'ASK')
[REJECTED] 1712596975583303851 ('SCP', 'ASK')
[REJECTED] 1712596975583303853 ('EPT', 'ASK')
1712596975583303854 ('DLO', 'BID') 3 4721 14
[REJECTED] 1712596975583303855 ('DLO', 'ASK')
[REJECTED] 1712596975583303856 ('MKU', 'BID')
[REJECTED] 1712596975583303857 ('MKU', 'ASK')
[REJECTED] 1712596975583303859 ('IGM', 'ASK')
[REJECTED] 1712596975583303860 ('BRV', 'BID')
[REJECTED] 1712596975583303861 ('BRV', 'ASK')
[REJECTED] 1712596975583303863 ('EPT', 'ASK')
[REJECTED] 1712596975583303864 ('EPT', 'BID')
[REJECTED] 1712596975583303865 ('EPT', 'ASK')
[REJECTED] 1712596975583303866 ('DLO', 'BID')
[REJECTED] 1712596975583303867 ('DLO', 'ASK')
[REJECTED] 1712596975583303868 ('DLO', 'BID')
[REJECTED] 1712596975583303869 ('DLO', 'ASK')
[REJECTED] 1712596975583303870 ('DLO', 'BID')
[REJECTED] 1712596975583303871 ('DLO', 'ASK')
[REJECTED] 1712596975583303872 ('MKU', 'BID')
[REJECTED] 1712596975583303873 ('MKU', 'ASK')
[REJECTED] 1712596975583303874 ('MKU', 'BID')
[REJECTED] 1712596975583303875 ('MKU', 'ASK')
[REJECTED] 1712596975583303876 ('MKU', 'BID')
[REJECTED] 1712596975583303877 ('MKU', 'ASK')
[REJECTED] 1712596975583303878 ('IGM', 'BID')
[REJECTED] 1712596975583303879 ('IGM', 'ASK')
[REJECTED] 1712596975583303880 ('IGM', 'BID')
[REJECTED] 1712596975583303881 ('IGM', 'ASK')
[REJECTED] 1712596975583303882 ('IGM', 'BID')
[REJECTED] 1712596975583303883 ('IGM', 'ASK')
[REJECTED] 1712596975583303884 ('BRV', 'BID')
[REJECTED] 1712596975583303885 ('BRV', 'ASK')
[REJECTED] 1712596975583303886 ('BRV', 'BID')
[REJECTED] 1712596975583303887 ('BRV', 'ASK')
[REJECTED] 1712596975583303888 ('BRV', 'BID')
[REJECTED] 1712596975583303889 ('BRV', 'ASK')
[CANCELLED] 1712596975583303852 ('EPT', 'BID')
[CANCELLED] 1712596975583303858 ('IGM', 'BID')
[CANCELLED] 1712596975583303862 ('EPT', 'BID')
[REJECTED] 1712596975583303890 ('SCP', 'BID')
[REJECTED] 1712596975583303891 ('SCP', 'BID')
[REJECTED] 1712596975583303892 ('SCP', 'BID')
[REJECTED] 1712596975583303893 ('SCP', 'BID')
[REJECTED] 1712596975583303894 ('EPT', 'BID')
[REJECTED] 1712596975583303897 ('DLO', 'ASK')
[REJECTED] 1712596975583303898 ('MKU', 'BID')
[REJECTED] 1712596975583303899 ('MKU', 'ASK')
[REJECTED] 1712596975583303900 ('IGM', 'BID')
1712596975583303901 ('IGM', 'ASK') 3 5134 -2
[REJECTED] 1712596975583303902 ('BRV', 'BID')
[REJECTED] 1712596975583303903 ('BRV', 'ASK')
[REJECTED] 1712596975583303906 ('EPT', 'BID')
[REJECTED] 1712596975583303908 ('DLO', 'BID')
[REJECTED] 1712596975583303909 ('DLO', 'ASK')
[REJECTED] 1712596975583303910 ('DLO', 'BID')
[REJECTED] 1712596975583303911 ('DLO', 'ASK')
[REJECTED] 1712596975583303912 ('DLO', 'BID')
[REJECTED] 1712596975583303913 ('DLO', 'ASK')
[REJECTED] 1712596975583303914 ('MKU', 'BID')
[REJECTED] 1712596975583303915 ('MKU', 'ASK')
[REJECTED] 1712596975583303916 ('MKU', 'BID')
[REJECTED] 1712596975583303917 ('MKU', 'ASK')
[REJECTED] 1712596975583303918 ('MKU', 'BID')
[REJECTED] 1712596975583303919 ('MKU', 'ASK')
[REJECTED] 1712596975583303920 ('IGM', 'BID')
[REJECTED] 1712596975583303921 ('IGM', 'ASK')
[REJECTED] 1712596975583303922 ('IGM', 'BID')
[REJECTED] 1712596975583303923 ('IGM', 'ASK')
[REJECTED] 1712596975583303924 ('IGM', 'BID')
[REJECTED] 1712596975583303925 ('IGM', 'ASK')
[REJECTED] 1712596975583303926 ('BRV', 'BID')
[REJECTED] 1712596975583303927 ('BRV', 'ASK')
[REJECTED] 1712596975583303928 ('BRV', 'BID')
[REJECTED] 1712596975583303929 ('BRV', 'ASK')
[REJECTED] 1712596975583303930 ('BRV', 'BID')
[REJECTED] 1712596975583303931 ('BRV', 'ASK')
[CANCELLED] 1712596975583303895 ('EPT', 'ASK')
[CANCELLED] 1712596975583303896 ('DLO', 'BID')
[CANCELLED] 1712596975583303904 ('EPT', 'BID')
[CANCELLED] 1712596975583303905 ('EPT', 'ASK')
[CANCELLED] 1712596975583303907 ('EPT', 'ASK')
[REJECTED] 1712596975583303932 ('SCP', 'BID')
[REJECTED] 1712596975583303933 ('SCP', 'BID')
[REJECTED] 1712596975583303934 ('SCP', 'BID')
[REJECTED] 1712596975583303937 ('DLO', 'BID')
[REJECTED] 1712596975583303939 ('MKU', 'BID')
[REJECTED] 1712596975583303940 ('MKU', 'ASK')
[REJECTED] 1712596975583303942 ('IGM', 'ASK')
[REJECTED] 1712596975583303943 ('BRV', 'BID')
[REJECTED] 1712596975583303944 ('BRV', 'ASK')
[REJECTED] 1712596975583303945 ('EPT', 'BID')
[REJECTED] 1712596975583303946 ('EPT', 'ASK')
[REJECTED] 1712596975583303947 ('DLO', 'BID')
[REJECTED] 1712596975583303948 ('DLO', 'ASK')
[REJECTED] 1712596975583303949 ('DLO', 'BID')
[REJECTED] 1712596975583303950 ('DLO', 'ASK')
[REJECTED] 1712596975583303951 ('DLO', 'BID')
[REJECTED] 1712596975583303952 ('DLO', 'ASK')
[REJECTED] 1712596975583303953 ('MKU', 'BID')
[REJECTED] 1712596975583303954 ('MKU', 'ASK')
[REJECTED] 1712596975583303955 ('MKU', 'BID')
[REJECTED] 1712596975583303956 ('MKU', 'ASK')
[REJECTED] 1712596975583303957 ('MKU', 'BID')
[REJECTED] 1712596975583303958 ('MKU', 'ASK')
[REJECTED] 1712596975583303959 ('IGM', 'BID')
[REJECTED] 1712596975583303960 ('IGM', 'ASK')
[REJECTED] 1712596975583303961 ('IGM', 'BID')
[REJECTED] 1712596975583303962 ('IGM', 'ASK')
[REJECTED] 1712596975583303963 ('IGM', 'BID')
[REJECTED] 1712596975583303964 ('IGM', 'ASK')
[REJECTED] 1712596975583303965 ('BRV', 'BID')
[REJECTED] 1712596975583303966 ('BRV', 'ASK')
[REJECTED] 1712596975583303967 ('BRV', 'BID')
[REJECTED] 1712596975583303968 ('BRV', 'ASK')
[REJECTED] 1712596975583303969 ('BRV', 'BID')
[REJECTED] 1712596975583303970 ('BRV', 'ASK')
[CANCELLED] 1712596975583303935 ('EPT', 'BID')
[CANCELLED] 1712596975583303936 ('EPT', 'ASK')
[CANCELLED] 1712596975583303938 ('DLO', 'ASK')
[CANCELLED] 1712596975583303941 ('IGM', 'BID')
[REJECTED] 1712596975583303971 ('SCP', 'BID')
[REJECTED] 1712596975583303972 ('SCP', 'BID')
[REJECTED] 1712596975583303973 ('SCP', 'BID')
[REJECTED] 1712596975583303974 ('SCP', 'BID')
[REJECTED] 1712596975583303976 ('EPT', 'ASK')
[REJECTED] 1712596975583303978 ('DLO', 'ASK')
[REJECTED] 1712596975583303979 ('MKU', 'BID')
[REJECTED] 1712596975583303980 ('MKU', 'ASK')
[REJECTED] 1712596975583303981 ('IGM', 'BID')
1712596975583303982 ('IGM', 'ASK') 3 5184 -23
[REJECTED] 1712596975583303983 ('BRV', 'BID')
[REJECTED] 1712596975583303984 ('BRV', 'ASK')
[REJECTED] 1712596975583303986 ('EPT', 'ASK')
[REJECTED] 1712596975583303987 ('EPT', 'BID')
[REJECTED] 1712596975583303989 ('DLO', 'BID')
[REJECTED] 1712596975583303990 ('DLO', 'ASK')
[REJECTED] 1712596975583303991 ('DLO', 'BID')
[REJECTED] 1712596975583303992 ('DLO', 'ASK')
[REJECTED] 1712596975583303993 ('DLO', 'BID')
[REJECTED] 1712596975583303994 ('DLO', 'ASK')
[REJECTED] 1712596975583303995 ('MKU', 'BID')
[REJECTED] 1712596975583303996 ('MKU', 'ASK')
[REJECTED] 1712596975583303997 ('MKU', 'BID')
[REJECTED] 1712596975583303998 ('MKU', 'ASK')
[REJECTED] 1712596975583303999 ('MKU', 'BID')
[REJECTED] 1712596975583304000 ('MKU', 'ASK')
[REJECTED] 1712596975583304001 ('IGM', 'BID')
[REJECTED] 1712596975583304002 ('IGM', 'ASK')
[REJECTED] 1712596975583304003 ('IGM', 'BID')
[REJECTED] 1712596975583304004 ('IGM', 'ASK')
[REJECTED] 1712596975583304005 ('IGM', 'BID')
[REJECTED] 1712596975583304006 ('IGM', 'ASK')
[REJECTED] 1712596975583304007 ('BRV', 'BID')
[REJECTED] 1712596975583304008 ('BRV', 'ASK')
[REJECTED] 1712596975583304009 ('BRV', 'BID')
[REJECTED] 1712596975583304010 ('BRV', 'ASK')
[REJECTED] 1712596975583304011 ('BRV', 'BID')
[REJECTED] 1712596975583304012 ('BRV', 'ASK')
[CANCELLED] 1712596975583303975 ('EPT', 'BID')
[CANCELLED] 1712596975583303977 ('DLO', 'BID')
[CANCELLED] 1712596975583303985 ('EPT', 'BID')
[CANCELLED] 1712596975583303988 ('EPT', 'ASK')
[REJECTED] 1712596975583304013 ('SCP', 'BID')
[REJECTED] 1712596975583304014 ('SCP', 'BID')
[REJECTED] 1712596975583304015 ('SCP', 'BID')
[REJECTED] 1712596975583304016 ('SCP', 'BID')
[REJECTED] 1712596975583304018 ('EPT', 'ASK')
[REJECTED] 1712596975583304019 ('DLO', 'BID')
1712596975583304020 ('DLO', 'ASK') 3 4767 -5
[REJECTED] 1712596975583304021 ('MKU', 'BID')
[REJECTED] 1712596975583304022 ('MKU', 'ASK')
1712596975583304023 ('IGM', 'BID') 3 5207 2
[REJECTED] 1712596975583304025 ('BRV', 'BID')
[REJECTED] 1712596975583304026 ('BRV', 'ASK')
[REJECTED] 1712596975583304027 ('EPT', 'BID')
[REJECTED] 1712596975583304028 ('EPT', 'ASK')
[REJECTED] 1712596975583304029 ('DLO', 'BID')
[REJECTED] 1712596975583304030 ('DLO', 'ASK')
[REJECTED] 1712596975583304031 ('DLO', 'BID')
[REJECTED] 1712596975583304032 ('DLO', 'ASK')
[REJECTED] 1712596975583304033 ('DLO', 'BID')
[REJECTED] 1712596975583304034 ('DLO', 'ASK')
[REJECTED] 1712596975583304035 ('MKU', 'BID')
[REJECTED] 1712596975583304036 ('MKU', 'ASK')
[REJECTED] 1712596975583304037 ('MKU', 'BID')
[REJECTED] 1712596975583304038 ('MKU', 'ASK')
[REJECTED] 1712596975583304039 ('MKU', 'BID')
[REJECTED] 1712596975583304040 ('MKU', 'ASK')
[REJECTED] 1712596975583304041 ('IGM', 'BID')
[REJECTED] 1712596975583304042 ('IGM', 'ASK')
[REJECTED] 1712596975583304043 ('IGM', 'BID')
[REJECTED] 1712596975583304044 ('IGM', 'ASK')
[REJECTED] 1712596975583304045 ('IGM', 'BID')
[REJECTED] 1712596975583304046 ('IGM', 'ASK')
[REJECTED] 1712596975583304047 ('BRV', 'BID')
[REJECTED] 1712596975583304048 ('BRV', 'ASK')
[REJECTED] 1712596975583304049 ('BRV', 'BID')
[REJECTED] 1712596975583304050 ('BRV', 'ASK')
[REJECTED] 1712596975583304051 ('BRV', 'BID')
[REJECTED] 1712596975583304052 ('BRV', 'ASK')
1712596975583304017 ('EPT', 'BID') 29 4819 0
[CANCELLED] 1712596975583304024 ('IGM', 'ASK')
[REJECTED] 1712596975583304053 ('SCP', 'BID')
[REJECTED] 1712596975583304054 ('SCP', 'BID')
[REJECTED] 1712596975583304055 ('SCP', 'BID')
[REJECTED] 1712596975583304056 ('SCP', 'BID')
[REJECTED] 1712596975583304060 ('DLO', 'ASK')
[REJECTED] 1712596975583304061 ('MKU', 'BID')
[REJECTED] 1712596975583304062 ('MKU', 'ASK')
[REJECTED] 1712596975583304064 ('IGM', 'ASK')
[REJECTED] 1712596975583304065 ('BRV', 'BID')
[REJECTED] 1712596975583304066 ('BRV', 'ASK')
[REJECTED] 1712596975583304069 ('EPT', 'BID')
[REJECTED] 1712596975583304070 ('EPT', 'ASK')
[REJECTED] 1712596975583304071 ('DLO', 'BID')
[REJECTED] 1712596975583304072 ('DLO', 'ASK')
[REJECTED] 1712596975583304073 ('DLO', 'BID')
[REJECTED] 1712596975583304074 ('DLO', 'ASK')
[REJECTED] 1712596975583304075 ('DLO', 'BID')
[REJECTED] 1712596975583304076 ('DLO', 'ASK')
[REJECTED] 1712596975583304077 ('MKU', 'BID')
[REJECTED] 1712596975583304078 ('MKU', 'ASK')
[REJECTED] 1712596975583304079 ('MKU', 'BID')
[REJECTED] 1712596975583304080 ('MKU', 'ASK')
[REJECTED] 1712596975583304081 ('MKU', 'BID')
[REJECTED] 1712596975583304082 ('MKU', 'ASK')
[REJECTED] 1712596975583304083 ('IGM', 'BID')
[REJECTED] 1712596975583304084 ('IGM', 'ASK')
[REJECTED] 1712596975583304085 ('IGM', 'BID')
[REJECTED] 1712596975583304086 ('IGM', 'ASK')
[REJECTED] 1712596975583304087 ('IGM', 'BID')
[REJECTED] 1712596975583304088 ('IGM', 'ASK')
[REJECTED] 1712596975583304089 ('BRV', 'BID')
[REJECTED] 1712596975583304090 ('BRV', 'ASK')
[REJECTED] 1712596975583304091 ('BRV', 'BID')
[REJECTED] 1712596975583304092 ('BRV', 'ASK')
[REJECTED] 1712596975583304093 ('BRV', 'BID')
[REJECTED] 1712596975583304094 ('BRV', 'ASK')
1712596975583304058 ('EPT', 'ASK') 3 4811 0
[CANCELLED] 1712596975583304057 ('EPT', 'BID')
[CANCELLED] 1712596975583304059 ('DLO', 'BID')
[CANCELLED] 1712596975583304063 ('IGM', 'BID')
[CANCELLED] 1712596975583304067 ('EPT', 'BID')
[CANCELLED] 1712596975583304068 ('EPT', 'ASK')
[REJECTED] 1712596975583304095 ('SCP', 'BID')
[REJECTED] 1712596975583304096 ('SCP', 'BID')
[REJECTED] 1712596975583304097 ('SCP', 'BID')
[REJECTED] 1712596975583304098 ('SCP', 'BID')
[REJECTED] 1712596975583304101 ('DLO', 'BID')
[REJECTED] 1712596975583304103 ('MKU', 'BID')
[REJECTED] 1712596975583304104 ('MKU', 'ASK')
[REJECTED] 1712596975583304105 ('IGM', 'BID')
[REJECTED] 1712596975583304107 ('BRV', 'BID')
[REJECTED] 1712596975583304108 ('BRV', 'ASK')
[REJECTED] 1712596975583304109 ('EPT', 'BID')
[REJECTED] 1712596975583304110 ('EPT', 'ASK')
[REJECTED] 1712596975583304111 ('DLO', 'BID')
[REJECTED] 1712596975583304112 ('DLO', 'ASK')
[REJECTED] 1712596975583304113 ('DLO', 'BID')
[REJECTED] 1712596975583304114 ('DLO', 'ASK')
[REJECTED] 1712596975583304115 ('DLO', 'BID')
[REJECTED] 1712596975583304116 ('DLO', 'ASK')
[REJECTED] 1712596975583304117 ('MKU', 'BID')
[REJECTED] 1712596975583304118 ('MKU', 'ASK')
[REJECTED] 1712596975583304119 ('MKU', 'BID')
[REJECTED] 1712596975583304120 ('MKU', 'ASK')
[REJECTED] 1712596975583304121 ('MKU', 'BID')
[REJECTED] 1712596975583304122 ('MKU', 'ASK')
[REJECTED] 1712596975583304123 ('IGM', 'BID')
[REJECTED] 1712596975583304124 ('IGM', 'ASK')
[REJECTED] 1712596975583304125 ('IGM', 'BID')
[REJECTED] 1712596975583304126 ('IGM', 'ASK')
[REJECTED] 1712596975583304127 ('IGM', 'BID')
[REJECTED] 1712596975583304128 ('IGM', 'ASK')
[REJECTED] 1712596975583304129 ('BRV', 'BID')
[REJECTED] 1712596975583304130 ('BRV', 'ASK')
[REJECTED] 1712596975583304131 ('BRV', 'BID')
[REJECTED] 1712596975583304132 ('BRV', 'ASK')
[REJECTED] 1712596975583304133 ('BRV', 'BID')
[REJECTED] 1712596975583304134 ('BRV', 'ASK')
1712596975583304100 ('EPT', 'ASK') 13 4812 0
[CANCELLED] 1712596975583304099 ('EPT', 'BID')
[CANCELLED] 1712596975583304102 ('DLO', 'ASK')
[CANCELLED] 1712596975583304106 ('IGM', 'ASK')
[REJECTED] 1712596975583304135 ('JAK', 'ASK')
[REJECTED] 1712596975583304136 ('JAK', 'ASK')
1712596975583304138 ('EPT', 'ASK') 3 4847 -9
1712596975583304139 ('DLO', 'BID') 3 4807 3
[REJECTED] 1712596975583304140 ('DLO', 'ASK')
[REJECTED] 1712596975583304141 ('MKU', 'BID')
[REJECTED] 1712596975583304142 ('MKU', 'ASK')
[REJECTED] 1712596975583304144 ('IGM', 'ASK')
[REJECTED] 1712596975583304145 ('BRV', 'BID')
[REJECTED] 1712596975583304146 ('BRV', 'ASK')
[REJECTED] 1712596975583304148 ('EPT', 'ASK')
[REJECTED] 1712596975583304149 ('EPT', 'BID')
[REJECTED] 1712596975583304150 ('EPT', 'ASK')
[REJECTED] 1712596975583304151 ('DLO', 'BID')
[REJECTED] 1712596975583304152 ('DLO', 'ASK')
[REJECTED] 1712596975583304153 ('DLO', 'BID')
[REJECTED] 1712596975583304154 ('DLO', 'ASK')
[REJECTED] 1712596975583304155 ('DLO', 'BID')
[REJECTED] 1712596975583304156 ('DLO', 'ASK')
[REJECTED] 1712596975583304157 ('MKU', 'BID')
[REJECTED] 1712596975583304158 ('MKU', 'ASK')
[REJECTED] 1712596975583304159 ('MKU', 'BID')
[REJECTED] 1712596975583304160 ('MKU', 'ASK')
[REJECTED] 1712596975583304161 ('MKU', 'BID')
[REJECTED] 1712596975583304162 ('MKU', 'ASK')
[REJECTED] 1712596975583304163 ('IGM', 'BID')
[REJECTED] 1712596975583304164 ('IGM', 'ASK')
[REJECTED] 1712596975583304165 ('IGM', 'BID')
[REJECTED] 1712596975583304166 ('IGM', 'ASK')
[REJECTED] 1712596975583304167 ('IGM', 'BID')
[REJECTED] 1712596975583304168 ('IGM', 'ASK')
[REJECTED] 1712596975583304169 ('BRV', 'BID')
[REJECTED] 1712596975583304170 ('BRV', 'ASK')
[REJECTED] 1712596975583304171 ('BRV', 'BID')
[REJECTED] 1712596975583304172 ('BRV', 'ASK')
[REJECTED] 1712596975583304173 ('BRV', 'BID')
[REJECTED] 1712596975583304174 ('BRV', 'ASK')
[CANCELLED] 1712596975583304137 ('EPT', 'BID')
[CANCELLED] 1712596975583304143 ('IGM', 'BID')
[CANCELLED] 1712596975583304147 ('EPT', 'BID')
[REJECTED] 1712596975583304175 ('SCP', 'BID')
[REJECTED] 1712596975583304176 ('SCP', 'BID')
[REJECTED] 1712596975583304177 ('SCP', 'BID')
[REJECTED] 1712596975583304178 ('SCP', 'BID')
1712596975583304179 ('EPT', 'BID') 30 4836 19
1712596994672147201 ('EPT', 'ASK') 3 4833 -332
[REJECTED] 1712596994672147202 ('DLO', 'BID')
[REJECTED] 1712596994672147203 ('DLO', 'ASK')
[REJECTED] 1712596994672147204 ('MKU', 'BID')
[REJECTED] 1712596994672147205 ('MKU', 'ASK')
[REJECTED] 1712596994672147206 ('IGM', 'BID')
[REJECTED] 1712596994672147207 ('IGM', 'ASK')
[REJECTED] 1712596994672147208 ('BRV', 'BID')
[REJECTED] 1712596994672147209 ('BRV', 'ASK')
[REJECTED] 1712596994672147211 ('EPT', 'ASK')
[REJECTED] 1712596994672147212 ('EPT', 'BID')
[REJECTED] 1712596994672147213 ('EPT', 'ASK')
[REJECTED] 1712596994672147214 ('EPT', 'BID')
[REJECTED] 1712596994672147215 ('EPT', 'ASK')
[REJECTED] 1712596994672147216 ('DLO', 'BID')
[REJECTED] 1712596994672147217 ('DLO', 'ASK')
[REJECTED] 1712596994672147218 ('DLO', 'BID')
[REJECTED] 1712596994672147219 ('DLO', 'ASK')
[REJECTED] 1712596994672147220 ('DLO', 'BID')
[REJECTED] 1712596994672147221 ('DLO', 'ASK')
[REJECTED] 1712596994672147222 ('MKU', 'BID')
[REJECTED] 1712596994672147223 ('MKU', 'ASK')
[REJECTED] 1712596994672147224 ('MKU', 'BID')
[REJECTED] 1712596994672147225 ('MKU', 'ASK')
[REJECTED] 1712596994672147226 ('MKU', 'BID')
[REJECTED] 1712596994672147227 ('MKU', 'ASK')
[REJECTED] 1712596994672147228 ('IGM', 'BID')
[REJECTED] 1712596994672147229 ('IGM', 'ASK')
[REJECTED] 1712596994672147230 ('IGM', 'BID')
[REJECTED] 1712596994672147231 ('IGM', 'ASK')
[REJECTED] 1712596994672147232 ('IGM', 'BID')
[REJECTED] 1712596994672147233 ('IGM', 'ASK')
[REJECTED] 1712596994672147234 ('BRV', 'BID')
[REJECTED] 1712596994672147235 ('BRV', 'ASK')
[REJECTED] 1712596994672147236 ('BRV', 'BID')
[REJECTED] 1712596994672147237 ('BRV', 'ASK')
[REJECTED] 1712596994672147238 ('BRV', 'BID')
[REJECTED] 1712596994672147239 ('BRV', 'ASK')
[CANCELLED] 1712596994672147200 ('EPT', 'BID')
[CANCELLED] 1712596994672147210 ('EPT', 'BID')
[REJECTED] 1712596994672147240 ('SCP', 'BID')
[REJECTED] 1712596994672147241 ('SCP', 'BID')
[REJECTED] 1712596994672147242 ('SCP', 'BID')
[REJECTED] 1712596994672147243 ('SCP', 'BID')
1712596994672147244 ('EPT', 'BID') 16 4813 14
[REJECTED] 1712596994672147246 ('DLO', 'BID')
[REJECTED] 1712596994672147247 ('DLO', 'ASK')
[REJECTED] 1712596994672147248 ('MKU', 'BID')
[REJECTED] 1712596994672147249 ('MKU', 'ASK')
[REJECTED] 1712596994672147250 ('IGM', 'BID')
[REJECTED] 1712596994672147251 ('IGM', 'ASK')
[REJECTED] 1712596994672147252 ('BRV', 'BID')
[REJECTED] 1712596994672147253 ('BRV', 'ASK')
[REJECTED] 1712596994672147255 ('EPT', 'ASK')
[REJECTED] 1712596994672147256 ('EPT', 'BID')
[REJECTED] 1712596994672147257 ('EPT', 'ASK')
[REJECTED] 1712596994672147258 ('EPT', 'BID')
[REJECTED] 1712596994672147259 ('EPT', 'ASK')
[REJECTED] 1712596994672147260 ('DLO', 'BID')
[REJECTED] 1712596994672147261 ('DLO', 'ASK')
[REJECTED] 1712596994672147262 ('DLO', 'BID')
[REJECTED] 1712596994672147263 ('DLO', 'ASK')
[REJECTED] 1712596994672147264 ('DLO', 'BID')
[REJECTED] 1712596994672147265 ('DLO', 'ASK')
[REJECTED] 1712596994672147266 ('MKU', 'BID')
[REJECTED] 1712596994672147267 ('MKU', 'ASK')
[REJECTED] 1712596994672147268 ('MKU', 'BID')
[REJECTED] 1712596994672147269 ('MKU', 'ASK')
[REJECTED] 1712596994672147270 ('MKU', 'BID')
[REJECTED] 1712596994672147271 ('MKU', 'ASK')
[REJECTED] 1712596994672147272 ('IGM', 'BID')
[REJECTED] 1712596994672147273 ('IGM', 'ASK')
[REJECTED] 1712596994672147274 ('IGM', 'BID')
[REJECTED] 1712596994672147275 ('IGM', 'ASK')
[REJECTED] 1712596994672147276 ('IGM', 'BID')
[REJECTED] 1712596994672147277 ('IGM', 'ASK')
[REJECTED] 1712596994672147278 ('BRV', 'BID')
[REJECTED] 1712596994672147279 ('BRV', 'ASK')
[REJECTED] 1712596994672147280 ('BRV', 'BID')
[REJECTED] 1712596994672147281 ('BRV', 'ASK')
[REJECTED] 1712596994672147282 ('BRV', 'BID')
[REJECTED] 1712596994672147283 ('BRV', 'ASK')
1712596994672147254 ('EPT', 'BID') 10 4807 0
