1712715259482565892 ('BRV', <Side.BUY: 1>) 1 5384 4
[CANCELLED] 1712715259482566852 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566853 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566854 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566855 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566856 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566857 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566858 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566859 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566860 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566861 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566862 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566863 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566864 ('IGM', <Side.SELL: 2>)
1712715259482566874 ('IGM', <Side.BUY: 1>) 1 6302 11
[CANCELLED] 1712715259482566865 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566866 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566867 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566868 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566869 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566870 ('BRV', <Side.SELL: 2>)
1712715259482566871 ('EPT', <Side.BUY: 1>) 1 4206 0
1712715259482566901 ('BRV', <Side.SELL: 2>) 2 5442 0
1712715259482566894 ('IGM', <Side.BUY: 1>) 2 6293 0
[CANCELLED] 1712715259482566876 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566877 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566878 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566879 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566880 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566881 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566872 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566882 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566883 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566884 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566885 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566886 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566887 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566873 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566888 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566889 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566890 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566891 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566892 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566893 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566895 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566896 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566897 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566898 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566899 ('IGM', <Side.SELL: 2>)
1712715259482566907 ('IGM', <Side.BUY: 1>) 1 6290 15
[CANCELLED] 1712715259482566875 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566900 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566902 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566903 ('BRV', <Side.SELL: 2>)
1712715259482566927 ('IGM', <Side.BUY: 1>) 2 6285 0
1712715259482566922 ('MKU', <Side.SELL: 2>) 2 4967 0
1712715259482566934 ('BRV', <Side.SELL: 2>) 2 5471 0
1712715259482566936 ('BRV', <Side.SELL: 2>) 2 5491 0
1712715259482566924 ('MKU', <Side.SELL: 2>) 2 4987 0
1712715259482566916 ('DLO', <Side.SELL: 2>) 2 4964 0
1712715259482566938 ('BRV', <Side.SELL: 2>) 1 5511 0
1712715259482566928 ('IGM', <Side.SELL: 2>) 2 6343 0
1712715259482566926 ('MKU', <Side.SELL: 2>) 2 5007 0
1712715259482566918 ('DLO', <Side.SELL: 2>) 2 4984 0
[CANCELLED] 1712715259482566904 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566909 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566910 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566911 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566912 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566913 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566914 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566905 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566915 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566917 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566919 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566920 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566906 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566921 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566923 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566925 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566929 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566930 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566931 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566932 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566908 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566933 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566935 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566937 ('BRV', <Side.BUY: 1>)
1712715259482566939 ('EPT', <Side.BUY: 1>) 1 4205 0
1712715259482566969 ('BRV', <Side.SELL: 2>) 2 5571 0
[CANCELLED] 1712715259482566944 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566945 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566946 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566947 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566948 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566949 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566940 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566950 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566951 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566952 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566953 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566955 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566941 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566956 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566957 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566958 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566959 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566960 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566961 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566942 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566962 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566963 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566964 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566965 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566967 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566943 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566968 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566970 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566971 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566972 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566973 ('BRV', <Side.SELL: 2>)
1712715259482566974 ('EPT', <Side.BUY: 1>) 1 4187 0
1712715259482567004 ('BRV', <Side.SELL: 2>) 1 5590 0
1712715259482566998 ('IGM', <Side.SELL: 2>) 2 6388 0
1712715259482566992 ('MKU', <Side.SELL: 2>) 2 5048 0
[CANCELLED] 1712715259482566979 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566980 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566981 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566982 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566983 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566984 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566975 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566985 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566986 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566987 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566988 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566989 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566990 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566976 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566991 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566993 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566994 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566995 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566996 ('MKU', <Side.SELL: 2>)
1712715259482567007 ('MKU', <Side.BUY: 1>) 1 5028 9
[CANCELLED] 1712715259482566977 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566997 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566999 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567000 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567001 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567002 ('IGM', <Side.SELL: 2>)
1712715259482567008 ('IGM', <Side.BUY: 1>) 1 6367 10
[CANCELLED] 1712715259482566978 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567003 ('BRV', <Side.BUY: 1>)
1712715259482567009 ('BRV', <Side.BUY: 1>) 1 5587 19
1712715259482567022 ('MKU', <Side.BUY: 1>) 2 5017 0
1712715259482567028 ('IGM', <Side.BUY: 1>) 2 6357 0
1712715259482567034 ('BRV', <Side.BUY: 1>) 2 5572 14
1712715259482567005 ('EPT', <Side.BUY: 1>) 1 4170 0
1712715259482567036 ('BRV', <Side.BUY: 1>) 2 5566 0
[CANCELLED] 1712715259482567010 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567011 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567012 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567013 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567014 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567015 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567006 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567016 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567017 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567018 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567019 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567020 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567021 ('DLO', <Side.SELL: 2>)
1712715259482567041 ('DLO', <Side.BUY: 1>) 1 4998 3
[CANCELLED] 1712715259482567023 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567024 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567025 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567026 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567027 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567029 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567030 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567031 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567032 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567033 ('IGM', <Side.SELL: 2>)
1712715259482567043 ('IGM', <Side.BUY: 1>) 1 6350 47
[CANCELLED] 1712715259482567035 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567037 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567038 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567039 ('BRV', <Side.SELL: 2>)
1712715259482567044 ('BRV', <Side.BUY: 1>) 1 5583 15
1712715259482567063 ('IGM', <Side.BUY: 1>) 2 6350 27
1712715259482567065 ('IGM', <Side.BUY: 1>) 2 6350 7
1712715259482567067 ('IGM', <Side.BUY: 1>) 2 6337 0
1712715259482567058 ('MKU', <Side.SELL: 2>) 2 5057 0
1712715259482567046 ('EPT', <Side.SELL: 2>) 2 4200 0
1712715259482567048 ('EPT', <Side.SELL: 2>) 2 4220 0
1712715259482567069 ('BRV', <Side.BUY: 1>) 2 5578 0
[CANCELLED] 1712715259482567040 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567045 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567047 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567049 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567050 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567051 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567052 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567053 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567054 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567055 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567056 ('DLO', <Side.SELL: 2>)
1712715259482567076 ('DLO', <Side.BUY: 1>) 1 5004 4
[CANCELLED] 1712715259482567042 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567057 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567059 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567060 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567061 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567062 ('MKU', <Side.SELL: 2>)
1712715259482567077 ('MKU', <Side.BUY: 1>) 1 5043 10
[CANCELLED] 1712715259482567064 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567066 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567068 ('IGM', <Side.SELL: 2>)
1712715259482567078 ('IGM', <Side.BUY: 1>) 1 6271 35
[CANCELLED] 1712715259482567070 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567071 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567072 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567073 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567074 ('BRV', <Side.SELL: 2>)
1712715259482567079 ('BRV', <Side.BUY: 1>) 1 5576 31
1712715259482567098 ('IGM', <Side.BUY: 1>) 2 6249 37
1712715259482567100 ('IGM', <Side.BUY: 1>) 2 6249 17
1712715259482567104 ('BRV', <Side.BUY: 1>) 2 5563 24
1712715259482567106 ('BRV', <Side.BUY: 1>) 2 5563 4
1712715259482567092 ('MKU', <Side.BUY: 1>) 2 5033 0
1712715259482567075 ('EPT', <Side.BUY: 1>) 1 4216 0
[CANCELLED] 1712715259482567080 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567081 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567082 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567083 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567085 ('EPT', <Side.SELL: 2>)
1712715259482567110 ('EPT', <Side.BUY: 1>) 1 4201 16
[CANCELLED] 1712715259482567086 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567087 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567088 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567089 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567090 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567091 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567093 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567094 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567095 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567097 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567099 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567101 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567102 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567103 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567105 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567107 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567108 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567109 ('BRV', <Side.SELL: 2>)
1712715259482567115 ('EPT', <Side.BUY: 1>) 2 4197 0
1712715259482567134 ('IGM', <Side.SELL: 2>) 2 6319 0
1712715259482567112 ('MKU', <Side.BUY: 1>) 1 5022 0
1712715259482567111 ('DLO', <Side.BUY: 1>) 1 4998 0
1712715259482567114 ('BRV', <Side.BUY: 1>) 1 5564 0
1712715259482567113 ('IGM', <Side.BUY: 1>) 1 6286 0
1712715259482567139 ('BRV', <Side.BUY: 1>) 2 5544 0
1712715259482567133 ('IGM', <Side.BUY: 1>) 2 6266 0
[CANCELLED] 1712715259482567116 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567118 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567119 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567120 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567121 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567122 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567124 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567125 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567126 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567127 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567128 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567129 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567130 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567131 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567132 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567135 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567136 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567137 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567138 ('IGM', <Side.SELL: 2>)
1712715259482567148 ('IGM', <Side.BUY: 1>) 1 6253 55
[CANCELLED] 1712715259482567140 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567141 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567142 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567143 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567144 ('BRV', <Side.SELL: 2>)
1712715259482567149 ('BRV', <Side.BUY: 1>) 1 5542 16
1712715259482567168 ('IGM', <Side.BUY: 1>) 2 6253 35
1712715259482567170 ('IGM', <Side.BUY: 1>) 2 6253 15
1712715259482567172 ('IGM', <Side.BUY: 1>) 2 6248 0
1712715259482567147 ('MKU', <Side.BUY: 1>) 1 5003 0
[CANCELLED] 1712715259482567145 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567150 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567151 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567152 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567153 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567154 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567155 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567146 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567156 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567157 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567158 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567159 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567160 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567161 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567162 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567163 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567164 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567165 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567166 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567167 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567169 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567171 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567173 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567174 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567175 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567176 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567177 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567178 ('BRV', <Side.BUY: 1>)
1712715259482567182 ('IGM', <Side.BUY: 1>) 1 6246 0
1712715259482567185 ('EPT', <Side.SELL: 2>) 2 4233 0
1712715259482567202 ('IGM', <Side.BUY: 1>) 2 6226 0
1712715259482567183 ('BRV', <Side.BUY: 1>) 1 5539 0
1712715259482567181 ('MKU', <Side.BUY: 1>) 1 4997 0
1712715259482567208 ('BRV', <Side.BUY: 1>) 2 5519 0
[CANCELLED] 1712715259482567179 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567184 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567186 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567187 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567188 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567189 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567180 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567190 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567191 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567192 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567193 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567194 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567195 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567196 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567197 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567198 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567199 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567200 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482567201 ('MKU', <Side.SELL: 2>)
1712715259482567216 ('MKU', <Side.BUY: 1>) 1 4992 14
[CANCELLED] 1712715259482567203 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567204 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567205 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567206 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482567207 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482567209 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567210 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567211 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567212 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482567213 ('BRV', <Side.SELL: 2>)
1712715259482567218 ('BRV', <Side.BUY: 1>) 1 5505 21
1712715259482567217 ('IGM', <Side.BUY: 1>) 1 6217 0
1712715259482567231 ('MKU', <Side.BUY: 1>) 2 4978 8
1712715259482567243 ('BRV', <Side.BUY: 1>) 2 5487 19
1712715259482567237 ('IGM', <Side.BUY: 1>) 2 6197 0
1712715259482567245 ('BRV', <Side.BUY: 1>) 2 5486 0
1712715259482567233 ('MKU', <Side.BUY: 1>) 2 4966 0
1712715259482567239 ('IGM', <Side.BUY: 1>) 2 6177 0
1712715259482567215 ('DLO', <Side.BUY: 1>) 1 4997 0
1712715259482567235 ('MKU', <Side.BUY: 1>) 2 4946 0
1712715259482567241 ('IGM', <Side.BUY: 1>) 2 6157 0
[CANCELLED] 1712715259482567244 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567246 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482567214 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567219 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567220 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567221 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567222 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567223 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482567224 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482567225 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567226 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567227 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567228 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482567229 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482567230 ('DLO', <Side.SELL: 2>)
1712715259482567249 ('DLO', <Side.BUY: 1>) 1 4985 13
[CANCELLED] 1712715259482567232 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482567234 ('MKU', <Side.SELL: 2>)
