[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457837 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457839 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457841 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457843 ('BRV', <Side.SELL: 2>)
1712716366750457848 ('BRV', <Side.BUY: 1>) 1 4990 14
1712716366750457845 ('DLO', <Side.BUY: 1>) 1 4893 0
1712716366750457873 ('BRV', <Side.BUY: 1>) 2 4984 0
1712716366750457875 ('BRV', <Side.BUY: 1>) 2 4964 0
1712716366750457861 ('MKU', <Side.BUY: 1>) 2 4878 0
1712716366750457847 ('IGM', <Side.BUY: 1>) 1 5562 0
1712716366750457867 ('IGM', <Side.BUY: 1>) 2 5542 0
[CANCELLED] 1712716366750457849 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457850 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457851 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457852 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457853 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457854 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457856 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457857 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457858 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457859 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457860 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457862 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457863 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457864 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457865 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457866 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457868 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457869 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457870 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457871 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457872 ('IGM', <Side.SELL: 2>)
1712716366750457882 ('IGM', <Side.BUY: 1>) 1 5532 11
[CANCELLED] 1712716366750457874 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457876 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457877 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457878 ('BRV', <Side.SELL: 2>)
1712716366750457883 ('BRV', <Side.BUY: 1>) 1 4947 0
1712716366750457881 ('MKU', <Side.BUY: 1>) 1 4859 0
1712716366750457902 ('IGM', <Side.BUY: 1>) 2 5523 0
[CANCELLED] 1712716366750457879 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457884 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457885 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457886 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457887 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457888 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457889 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457880 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457890 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457891 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457892 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457893 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457894 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457895 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457896 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457897 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457898 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457899 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457900 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457901 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457903 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457904 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457905 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457906 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457907 ('IGM', <Side.SELL: 2>)
1712716366750457917 ('IGM', <Side.BUY: 1>) 1 5510 11
[CANCELLED] 1712716366750457908 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457909 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457910 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457911 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457912 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457913 ('BRV', <Side.SELL: 2>)
1712716366750457937 ('IGM', <Side.BUY: 1>) 2 5501 0
1712716366750457920 ('EPT', <Side.SELL: 2>) 2 4777 0
1712716366750457939 ('IGM', <Side.BUY: 1>) 2 5481 0
1712716366750457922 ('EPT', <Side.SELL: 2>) 2 4797 0
[CANCELLED] 1712716366750457914 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457919 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457921 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457923 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457924 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457915 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457925 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457926 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457927 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457928 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457929 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457930 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457916 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457931 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457932 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457933 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457934 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457935 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457936 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457938 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457940 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457941 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457942 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457918 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457943 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457944 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457945 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457946 ('BRV', <Side.SELL: 2>)
1712716366750457977 ('BRV', <Side.SELL: 2>) 2 4963 0
1712716366750457950 ('IGM', <Side.BUY: 1>) 1 5462 0
1712716366750457965 ('MKU', <Side.SELL: 2>) 2 4906 0
1712716366750457970 ('IGM', <Side.BUY: 1>) 2 5442 0
1712716366750457972 ('IGM', <Side.BUY: 1>) 2 5422 0
[CANCELLED] 1712716366750457947 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457952 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457953 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457954 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457955 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457956 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457957 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457948 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457958 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457959 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457960 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457961 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457962 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750457963 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457949 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457964 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457966 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457967 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457968 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750457969 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750457971 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457973 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750457974 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750457975 ('IGM', <Side.SELL: 2>)
1712716366750457985 ('IGM', <Side.BUY: 1>) 1 5420 42
[CANCELLED] 1712716366750457951 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457976 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457978 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457979 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750457980 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750457981 ('BRV', <Side.SELL: 2>)
1712716366750457982 ('EPT', <Side.BUY: 1>) 1 4798 0
1712716366750457983 ('DLO', <Side.BUY: 1>) 1 4905 0
1712716366750457984 ('MKU', <Side.BUY: 1>) 1 4876 0
1712716366750457986 ('EPT', <Side.BUY: 1>) 1 4794 5
1712716366750457987 ('DLO', <Side.BUY: 1>) 1 4897 16
1712716366750457988 ('MKU', <Side.BUY: 1>) 1 4853 48
1712716366750457989 ('IGM', <Side.BUY: 1>) 1 5410 52
1712716366750457990 ('BRV', <Side.BUY: 1>) 1 4910 63
1712716366750458003 ('MKU', <Side.BUY: 1>) 2 4853 28
1712716366750458005 ('MKU', <Side.BUY: 1>) 2 4853 8
1712716366750458009 ('IGM', <Side.BUY: 1>) 2 5410 32
1712716366750458011 ('IGM', <Side.BUY: 1>) 2 5410 12
1712716366750458015 ('BRV', <Side.BUY: 1>) 1 4910 43
1712716366750458013 ('IGM', <Side.BUY: 1>) 2 5402 0
1712716366750457997 ('DLO', <Side.BUY: 1>) 2 4893 0
[CANCELLED] 1712716366750457991 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457992 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457993 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457994 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457995 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750457996 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750457998 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750457999 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458000 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458001 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458002 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458004 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458006 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458007 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458008 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458010 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458012 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458014 ('IGM', <Side.SELL: 2>)
1712716366750458020 ('BRV', <Side.BUY: 1>) 1 4899 0
1712716366750458018 ('MKU', <Side.BUY: 1>) 1 4850 0
1712716366750458045 ('BRV', <Side.BUY: 1>) 2 4879 0
[CANCELLED] 1712716366750458016 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458021 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458022 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458023 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458024 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458025 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458026 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458017 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458027 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458028 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458029 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458030 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458031 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458032 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458033 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458034 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458035 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458036 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458037 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458038 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458019 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458039 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458040 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458041 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458042 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458043 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458044 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458046 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458047 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458048 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458049 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458050 ('BRV', <Side.SELL: 2>)
1712716366750458055 ('BRV', <Side.BUY: 1>) 1 4876 3
1712716366750458054 ('IGM', <Side.BUY: 1>) 1 5403 0
1712716366750458052 ('DLO', <Side.BUY: 1>) 1 4890 0
1712716366750458053 ('MKU', <Side.BUY: 1>) 1 4831 0
1712716366750458074 ('IGM', <Side.BUY: 1>) 2 5383 0
1712716366750458076 ('IGM', <Side.BUY: 1>) 2 5363 0
1712716366750458080 ('BRV', <Side.BUY: 1>) 2 4859 0
[CANCELLED] 1712716366750458051 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458056 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458057 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458058 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458059 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458060 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458061 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458062 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458063 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458064 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458065 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458066 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458067 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458068 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458069 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458070 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458071 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458072 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458073 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458075 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458077 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458078 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458079 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458081 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458082 ('BRV', <Side.BUY: 1>)
1712716366750458107 ('IGM', <Side.SELL: 2>) 2 5377 0
1712716366750458083 ('EPT', <Side.BUY: 1>) 1 4799 0
1712716366750458113 ('BRV', <Side.SELL: 2>) 2 4872 0
1712716366750458088 ('EPT', <Side.BUY: 1>) 2 4779 0
1712716366750458085 ('MKU', <Side.BUY: 1>) 1 4812 0
[CANCELLED] 1712716366750458089 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458090 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458091 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458092 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458093 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458084 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458094 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458095 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458096 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458097 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458098 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458099 ('DLO', <Side.SELL: 2>)
1712716366750458119 ('DLO', <Side.BUY: 1>) 1 4890 5
[CANCELLED] 1712716366750458100 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458101 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458102 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458103 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458104 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458105 ('MKU', <Side.SELL: 2>)
1712716366750458120 ('MKU', <Side.BUY: 1>) 1 4806 7
[CANCELLED] 1712716366750458086 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458106 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458108 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458109 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458110 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458111 ('IGM', <Side.SELL: 2>)
1712716366750458121 ('IGM', <Side.BUY: 1>) 1 5380 11
[CANCELLED] 1712716366750458087 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458112 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458114 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458115 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458116 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458117 ('BRV', <Side.SELL: 2>)
1712716366750458122 ('BRV', <Side.BUY: 1>) 1 4860 13
1712716366750458141 ('IGM', <Side.BUY: 1>) 2 5371 0
1712716366750458143 ('IGM', <Side.BUY: 1>) 2 5351 0
1712716366750458124 ('EPT', <Side.SELL: 2>) 2 4804 0
1712716366750458147 ('BRV', <Side.BUY: 1>) 2 4853 0
1712716366750458145 ('IGM', <Side.BUY: 1>) 2 5331 0
1712716366750458126 ('EPT', <Side.SELL: 2>) 2 4824 0
1712716366750458149 ('BRV', <Side.BUY: 1>) 2 4833 0
[CANCELLED] 1712716366750458118 ('EPT', <Side.BUY: 1>)
1712716366750458128 ('EPT', <Side.SELL: 2>) 2 4844 0
[CANCELLED] 1712716366750458123 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458125 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458127 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458129 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458130 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458131 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458132 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458133 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458134 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458135 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458136 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458137 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458138 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458139 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458140 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458142 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458144 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458146 ('IGM', <Side.SELL: 2>)
1712716366750458155 ('IGM', <Side.BUY: 1>) 1 5261 61
[CANCELLED] 1712716366750458148 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458150 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458151 ('BRV', <Side.BUY: 1>)
1712716366750458156 ('BRV', <Side.BUY: 1>) 1 4824 24
1712716366750458158 ('EPT', <Side.SELL: 2>) 2 4846 -3
1712716366750458175 ('IGM', <Side.BUY: 1>) 2 5261 41
1712716366750458177 ('IGM', <Side.BUY: 1>) 2 5261 21
1712716366750458179 ('IGM', <Side.BUY: 1>) 2 5261 1
1712716366750458181 ('BRV', <Side.BUY: 1>) 2 4824 4
1712716366750458154 ('MKU', <Side.BUY: 1>) 1 4815 0
1712716366750458153 ('DLO', <Side.BUY: 1>) 1 4876 0
1712716366750458183 ('BRV', <Side.BUY: 1>) 2 4808 0
1712716366750458169 ('MKU', <Side.BUY: 1>) 2 4795 0
[CANCELLED] 1712716366750458152 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458157 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458159 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458160 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458161 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458162 ('EPT', <Side.SELL: 2>)
1712716366750458187 ('EPT', <Side.BUY: 1>) 1 4818 13
[CANCELLED] 1712716366750458163 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458164 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458165 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458166 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458167 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458168 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458170 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458171 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458172 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458173 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458174 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458176 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458178 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458180 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750458182 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458184 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458185 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458186 ('BRV', <Side.SELL: 2>)
1712716366750458192 ('EPT', <Side.BUY: 1>) 2 4806 5
1712716366750458211 ('IGM', <Side.SELL: 2>) 2 5308 -20
1712716366750458213 ('IGM', <Side.SELL: 2>) 2 5308 0
1712716366750458217 ('BRV', <Side.SELL: 2>) 2 4822 -3
1712716366750458215 ('IGM', <Side.SELL: 2>) 2 5328 0
1712716366750458194 ('EPT', <Side.BUY: 1>) 2 4791 0
1712716366750458196 ('EPT', <Side.BUY: 1>) 2 4771 0
1712716366750458189 ('MKU', <Side.BUY: 1>) 1 4785 0
[CANCELLED] 1712716366750458193 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458195 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458197 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458188 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458198 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458199 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458200 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458201 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458202 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458203 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750458204 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458205 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458206 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458207 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458208 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750458209 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750458190 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458210 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458212 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458214 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750458191 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458216 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458218 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458219 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750458220 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750458221 ('BRV', <Side.SELL: 2>)
1712716366750458226 ('BRV', <Side.BUY: 1>) 1 4805 21
1712716366750458225 ('IGM', <Side.BUY: 1>) 1 5318 0
1712716366750458245 ('IGM', <Side.BUY: 1>) 2 5291 7
1712716366750458228 ('EPT', <Side.SELL: 2>) 2 4795 0
[CANCELLED] 1712716366750458222 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458227 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458229 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458230 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458231 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750458232 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750458223 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750458233 ('DLO', <Side.BUY: 1>)
