1712534590239372800 ('EPT', 'BID') 1 4485
1712534590239375133 ('EPT', 'BID') 1 4224
1712534590239375088 ('EPT', 'BID') 1 4223
1712534590239375044 ('EPT', 'BID') 1 4222
1712534590239375138 ('MKU', 'ASK') 1 4590
1712534590239375021 ('EPT', 'BID') 1 4197
1712534590239375156 ('EPT', 'BID') 1 4205
1712534590239375180 ('EPT', 'BID') 1 4192
1712534590239375201 ('EPT', 'BID') 1 4203
1712534590239375218 ('EPT', 'BID') 1 4187
1712534590239375223 ('MKU', 'ASK') 1 4504
1712534590239375239 ('MKU', 'ASK') 1 4527
1712534590239375206 ('MKU', 'ASK') 1 4534
1712534590239375234 ('EPT', 'BID') 1 4180
1712534590239375185 ('MKU', 'ASK') 1 4541
1712534590239375250 ('EPT', 'BID') 1 4161
1712534590239375255 ('MKU', 'ASK') 1 4551
1712534590239375271 ('MKU', 'ASK') 1 4549
1712534590239375266 ('EPT', 'BID') 1 4135
1712534590239375282 ('EPT', 'BID') 1 4124
1712534590239375304 ('MKU', 'BID') 1 4499
1712534590239375286 ('MKU', 'BID') 1 4499
1712534590239375270 ('MKU', 'BID') 1 4499
1712534590239375254 ('MKU', 'BID') 1 4499
1712534590239375238 ('MKU', 'BID') 1 4499
1712534590239375222 ('MKU', 'BID') 1 4499
1712534590239375205 ('MKU', 'BID') 1 4499
1712534590239375184 ('MKU', 'BID') 1 4499
1712534590239375160 ('MKU', 'BID') 1 4499
1712534590239375137 ('MKU', 'BID') 1 4499
1712534590239375115 ('MKU', 'BID') 1 4499
1712534590239375092 ('MKU', 'BID') 1 4499
1712534590239375070 ('MKU', 'BID') 1 4499
1712534590239375048 ('MKU', 'BID') 1 4499
1712534590239375025 ('MKU', 'BID') 1 4499
1712534590239375003 ('MKU', 'BID') 1 4499
1712534590239374980 ('MKU', 'BID') 1 4499
1712534590239374958 ('MKU', 'BID') 1 4499
1712534590239374935 ('MKU', 'BID') 1 4499
1712534590239374911 ('MKU', 'BID') 1 4499
1712534590239374884 ('MKU', 'BID') 1 4498
1712534590239374862 ('MKU', 'BID') 1 4497
1712534590239374838 ('MKU', 'BID') 1 4496
1712534590239374815 ('MKU', 'BID') 1 4495
1712534590239374791 ('MKU', 'BID') 1 4494
1712534590239374766 ('MKU', 'BID') 1 4493
1712534590239375322 ('MKU', 'ASK') 1 4501
1712534590239375337 ('MKU', 'BID') 1 4496
1712534590239375321 ('MKU', 'BID') 1 4495
1712534590239375353 ('MKU', 'BID') 1 4486
1712534590239375372 ('MKU', 'ASK') 1 4508
1712534590239375371 ('MKU', 'BID') 1 4490
1712534590239375388 ('MKU', 'BID') 1 4479
1712534590239375401 ('EPT', 'BID') 1 4168
1712534590239375423 ('MKU', 'BID') 1 4499
1712534590239375439 ('MKU', 'BID') 1 4478
1712534590239375405 ('MKU', 'BID') 1 4474
1712534590239374712 ('MKU', 'BID') 1 4452
1712534590239375455 ('MKU', 'BID') 1 4449
1712534590239375487 ('MKU', 'BID') 1 4455
1712534590239375504 ('MKU', 'BID') 1 4445
1712534590239375471 ('MKU', 'BID') 1 4441
1712534590239375520 ('MKU', 'BID') 1 4400
1712534590239375435 ('EPT', 'BID') 1 4164
1712534590239375537 ('MKU', 'BID') 1 4351
1712534590239375533 ('EPT', 'BID') 1 4169
1712534590239375553 ('MKU', 'BID') 1 4357
1712534590239375569 ('MKU', 'BID') 1 4353
1712534590239375586 ('MKU', 'BID') 1 4324
1712534590239375603 ('MKU', 'BID') 1 4298
1712534590239375636 ('MKU', 'BID') 1 4311
1712534590239375619 ('MKU', 'BID') 1 4285
1712534590239375653 ('MKU', 'BID') 1 4289
1712534590239375549 ('EPT', 'BID') 1 4157
1712534590239375384 ('EPT', 'BID') 1 4149
1712534590239375367 ('EPT', 'BID') 1 4141
1712534590239375349 ('EPT', 'BID') 1 4138
1712534590239375333 ('EPT', 'BID') 1 4120
1712534590239375317 ('EPT', 'BID') 1 4114
1712534590239375300 ('EPT', 'BID') 1 4113
1712534590239375699 ('EPT', 'BID') 1 4142
1712534590239375715 ('EPT', 'BID') 1 4110
1712534590239375719 ('MKU', 'BID') 1 4359
1712534590239375703 ('MKU', 'BID') 1 4355
1712534590239375731 ('EPT', 'BID') 1 4062
1712534590239375735 ('MKU', 'BID') 1 4342
1712534590239375752 ('MKU', 'BID') 1 4347
1712534590239375770 ('MKU', 'BID') 1 4339
1712534590239375786 ('MKU', 'BID') 1 4330
1712534590239375886 ('MKU', 'BID') 1 4400
1712534590239374732 ('BRV', 'BID') 1 4499
1712534590239374716 ('BRV', 'BID') 1 4499
1712534590239374698 ('BRV', 'BID') 1 4499
1712534590239374675 ('BRV', 'BID') 1 4499
1712534590239374652 ('BRV', 'BID') 1 4499
1712534590239374630 ('BRV', 'BID') 1 4499
1712534590239374607 ('BRV', 'BID') 1 4499
1712534590239374585 ('BRV', 'BID') 1 4499
1712534590239374561 ('BRV', 'BID') 1 4499
1712534590239374538 ('BRV', 'BID') 1 4499
1712534590239374516 ('BRV', 'BID') 1 4499
1712534590239374493 ('BRV', 'BID') 1 4499
1712534590239374470 ('BRV', 'BID') 1 4499
1712534590239374447 ('BRV', 'BID') 1 4499
1712534590239374424 ('BRV', 'BID') 1 4499
1712534590239374402 ('BRV', 'BID') 1 4499
1712534590239374380 ('BRV', 'BID') 1 4499
1712534590239374358 ('BRV', 'BID') 1 4499
1712534590239374335 ('BRV', 'BID') 1 4499
1712534590239374312 ('BRV', 'BID') 1 4499
1712534590239374289 ('BRV', 'BID') 1 4499
1712534590239374266 ('BRV', 'BID') 1 4499
1712534590239374243 ('BRV', 'BID') 1 4499
1712534590239374220 ('BRV', 'BID') 1 4499
1712534590239374197 ('BRV', 'BID') 1 4499
1712534590239374174 ('BRV', 'BID') 1 4499
1712534590239374152 ('BRV', 'BID') 1 4499
1712534590239374128 ('BRV', 'BID') 1 4499
1712534590239374105 ('BRV', 'BID') 1 4499
1712534590239374082 ('BRV', 'BID') 1 4499
1712534590239375902 ('MKU', 'BID') 1 4402
1712534590239374060 ('BRV', 'BID') 1 4499
1712534590239374038 ('BRV', 'BID') 1 4499
1712534590239374016 ('BRV', 'BID') 1 4499
1712534590239373994 ('BRV', 'BID') 1 4499
1712534590239373969 ('BRV', 'BID') 1 4499
1712534590239373947 ('BRV', 'BID') 1 4499
1712534590239373924 ('BRV', 'BID') 1 4499
1712534590239373901 ('BRV', 'BID') 1 4499
1712534590239373874 ('BRV', 'BID') 1 4499
1712534590239373852 ('BRV', 'BID') 1 4499
1712534590239373830 ('BRV', 'BID') 1 4499
1712534590239373807 ('BRV', 'BID') 1 4499
1712534590239373784 ('BRV', 'BID') 1 4499
1712534590239373762 ('BRV', 'BID') 1 4499
1712534590239373739 ('BRV', 'BID') 1 4499
1712534590239373715 ('BRV', 'BID') 1 4499
1712534590239373692 ('BRV', 'BID') 1 4499
1712534590239373669 ('BRV', 'BID') 1 4499
1712534590239373643 ('BRV', 'BID') 1 4499
1712534590239373620 ('BRV', 'BID') 1 4499
1712534590239373598 ('BRV', 'BID') 1 4499
1712534590239373575 ('BRV', 'BID') 1 4499
1712534590239373552 ('BRV', 'BID') 1 4499
1712534590239373530 ('BRV', 'BID') 1 4499
1712534590239373507 ('BRV', 'BID') 1 4499
1712534590239373482 ('BRV', 'BID') 1 4499
1712534590239373456 ('BRV', 'BID') 1 4499
1712534590239373434 ('BRV', 'BID') 1 4499
1712534590239373411 ('BRV', 'BID') 1 4499
1712534590239373389 ('BRV', 'BID') 1 4499
1712534590239373366 ('BRV', 'BID') 1 4499
1712534590239373344 ('BRV', 'BID') 1 4499
1712534590239373321 ('BRV', 'BID') 1 4499
1712534590239373299 ('BRV', 'BID') 1 4499
1712534590239373275 ('BRV', 'BID') 1 4499
1712534590239373252 ('BRV', 'BID') 1 4499
1712534590239373230 ('BRV', 'BID') 1 4499
1712534590239373206 ('BRV', 'BID') 1 4499
1712534590239373183 ('BRV', 'BID') 1 4499
1712534590239373161 ('BRV', 'BID') 1 4499
1712534590239373138 ('BRV', 'BID') 1 4499
1712534590239373114 ('BRV', 'BID') 1 4499
1712534590239373092 ('BRV', 'BID') 1 4499
1712534590239373069 ('BRV', 'BID') 1 4499
1712534590239373046 ('BRV', 'BID') 1 4499
1712534590239373024 ('BRV', 'BID') 1 4499
1712534590239373001 ('BRV', 'BID') 1 4499
1712534590239372977 ('BRV', 'BID') 1 4499
1712534590239372954 ('BRV', 'BID') 1 4499
1712534590239372931 ('BRV', 'BID') 1 4499
1712534590239372908 ('BRV', 'BID') 1 4499
1712534590239372886 ('BRV', 'BID') 1 4499
1712534590239372863 ('BRV', 'BID') 1 4499
1712534590239372841 ('BRV', 'BID') 1 4499
1712534590239372818 ('BRV', 'BID') 1 4499
1712534590239372808 ('BRV', 'BID') 1 4499
1712534590239375869 ('MKU', 'BID') 1 4381
1712534590239375852 ('MKU', 'BID') 1 4365
1712534590239375923 ('BRV', 'ASK') 1 4519
1712534590239375918 ('MKU', 'BID') 1 4397
1712534590239375934 ('MKU', 'BID') 1 4361
1712534590239375939 ('BRV', 'ASK') 1 4555
1712534590239375834 ('MKU', 'BID') 1 4348
1712534590239375956 ('BRV', 'ASK') 1 4590
1712534590239375951 ('MKU', 'BID') 1 4335
1712534590239375818 ('MKU', 'BID') 1 4334
1712534590239375972 ('BRV', 'ASK') 1 4610
1712534590239375989 ('BRV', 'ASK') 1 4632
1712534590239376006 ('BRV', 'ASK') 1 4653
1712534590239376019 ('MKU', 'BID') 1 4497
1712534590239374818 ('IGM', 'ASK') 1 5839
1712534590239374469 ('IGM', 'ASK') 1 5909
1712534590239376039 ('BRV', 'BID') 1 4499
1712534590239376023 ('BRV', 'BID') 1 4499
1712534590239376005 ('BRV', 'BID') 1 4499
1712534590239375988 ('BRV', 'BID') 1 4499
1712534590239375971 ('BRV', 'BID') 1 4499
1712534590239375955 ('BRV', 'BID') 1 4499
1712534590239375938 ('BRV', 'BID') 1 4499
1712534590239375922 ('BRV', 'BID') 1 4499
1712534590239374446 ('IGM', 'ASK') 1 5939
1712534590239376054 ('IGM', 'ASK') 1 5910
1712534590239376055 ('BRV', 'BID') 1 4463
1712534590239376051 ('MKU', 'BID') 1 4494
1712534590239376068 ('MKU', 'BID') 1 4494
1712534590239376072 ('BRV', 'BID') 1 4426
1712534590239374423 ('IGM', 'ASK') 1 5962
1712534590239376035 ('MKU', 'BID') 1 4489
1712534590239376001 ('MKU', 'BID') 1 4473
1712534590239376085 ('MKU', 'BID') 1 4455
1712534590239376089 ('BRV', 'BID') 1 4444
1712534590239376106 ('BRV', 'BID') 1 4457
1712534590239376102 ('MKU', 'BID') 1 4466
1712534590239376118 ('MKU', 'BID') 1 4466
1712534590239376122 ('BRV', 'BID') 1 4432
1712534590239376135 ('MKU', 'BID') 1 4433
1712534590239375984 ('MKU', 'BID') 1 4422
1712534590239375967 ('MKU', 'BID') 1 4367
1712534590239376139 ('BRV', 'BID') 1 4438
1712534590239376153 ('MKU', 'BID') 1 4374
1712534590239376157 ('BRV', 'BID') 1 4467
1712534590239376174 ('BRV', 'BID') 1 4389
1712534590239376170 ('MKU', 'BID') 1 4342
1712534590239376186 ('MKU', 'BID') 1 4354
1712534590239376202 ('MKU', 'BID') 1 4331
1712534590239375802 ('MKU', 'BID') 1 4324
1712534590239375687 ('MKU', 'BID') 1 4317
1712534590239375670 ('MKU', 'BID') 1 4277
1712534590239376219 ('MKU', 'BID') 1 4276
1712534590239376240 ('BRV', 'BID') 1 4414
1712534590239376223 ('BRV', 'BID') 1 4413
1712534590239376252 ('MKU', 'BID') 1 4316
1712534590239376268 ('MKU', 'BID') 1 4305
1712534590239376272 ('BRV', 'BID') 1 4411
1712534590239376256 ('BRV', 'BID') 1 4404
1712534590239376206 ('BRV', 'BID') 1 4402
1712534590239376289 ('BRV', 'BID') 1 4402
1712534590239376323 ('BRV', 'ASK') 1 4506
1712534590239376306 ('BRV', 'ASK') 1 4507
1712534590239376290 ('BRV', 'ASK') 1 4508
1712534590239376273 ('BRV', 'ASK') 1 4509
1712534590239376257 ('BRV', 'ASK') 1 4510
1712534590239376241 ('BRV', 'ASK') 1 4511
1712534590239376224 ('BRV', 'ASK') 1 4512
1712534590239376340 ('BRV', 'ASK') 1 4512
1712534590239376339 ('BRV', 'BID') 1 4499
1712534590239376363 ('BRV', 'BID') 1 4492
1712534590239376359 ('MKU', 'BID') 1 4435
1712534590239376364 ('BRV', 'ASK') 1 4501
1712534590239376335 ('MKU', 'BID') 1 4418
1712534590239376382 ('MKU', 'BID') 1 4417
1712534590239376386 ('BRV', 'BID') 1 4447
1712534590239376318 ('MKU', 'BID') 1 4406
1712534590239376387 ('BRV', 'ASK') 1 4512
1712534590239376207 ('BRV', 'ASK') 1 4513
1712534590239376191 ('BRV', 'ASK') 1 4514
1712534590239376175 ('BRV', 'ASK') 1 4515
1712534590239376407 ('BRV', 'ASK') 1 4514
1712534590239376158 ('BRV', 'ASK') 1 4516
1712534590239376140 ('BRV', 'ASK') 1 4517
1712534590239376123 ('BRV', 'ASK') 1 4518
1712534590239376107 ('BRV', 'ASK') 1 4519
1712534590239376402 ('MKU', 'BID') 1 4390
1712534590239376090 ('BRV', 'ASK') 1 4520
1712534590239376073 ('BRV', 'ASK') 1 4521
1712534590239376056 ('BRV', 'ASK') 1 4522
1712534590239376040 ('BRV', 'ASK') 1 4523
1712534590239376406 ('BRV', 'BID') 1 4495
1712534590239376422 ('BRV', 'BID') 1 4465
1712534590239376434 ('MKU', 'BID') 1 4397
1712534590239376418 ('MKU', 'BID') 1 4372
1712534590239376301 ('MKU', 'BID') 1 4364
1712534590239376450 ('MKU', 'BID') 1 4364
1712534590239376454 ('BRV', 'BID') 1 4455
1712534590239376438 ('BRV', 'BID') 1 4454
1712534590239376486 ('BRV', 'BID') 1 4446
1712534590239376511 ('BRV', 'BID') 1 4446
1712534590239376534 ('BRV', 'BID') 1 4443
1712534590239376470 ('BRV', 'BID') 1 4438
1712534590239376322 ('BRV', 'BID') 1 4432
1712534590239376556 ('BRV', 'BID') 1 4447
1712534590239376305 ('BRV', 'BID') 1 4385
1712534590239376190 ('BRV', 'BID') 1 4381
1712534590239376552 ('MKU', 'BID') 1 4421
1712534590239376580 ('BRV', 'BID') 1 4368
1712534590239376576 ('MKU', 'BID') 1 4414
1712534590239376530 ('MKU', 'BID') 1 4402
1712534590239376507 ('MKU', 'BID') 1 4401
1712534590239376482 ('MKU', 'BID') 1 4384
1712534590239376466 ('MKU', 'BID') 1 4347
1712534590239376598 ('MKU', 'BID') 1 4400
1712534590239376618 ('MKU', 'BID') 1 4350
1712534590239376640 ('BRV', 'ASK') 1 4502
1712534590239376657 ('BRV', 'ASK') 1 4502
1712534590239376674 ('BRV', 'ASK') 1 4543
1712534590239376698 ('BRV', 'ASK') 1 4530
1712534590239376623 ('BRV', 'ASK') 1 4598
1712534590239376603 ('BRV', 'ASK') 1 4599
1712534590239376581 ('BRV', 'ASK') 1 4600
1712534590239376557 ('BRV', 'ASK') 1 4601
1712534590239376535 ('BRV', 'ASK') 1 4602
1712534590239376512 ('BRV', 'ASK') 1 4603
1712534590239376487 ('BRV', 'ASK') 1 4604
1712534590239376471 ('BRV', 'ASK') 1 4605
1712534590239376455 ('BRV', 'ASK') 1 4606
1712534590239376439 ('BRV', 'ASK') 1 4607
1712534590239376423 ('BRV', 'ASK') 1 4608
1712534590239376024 ('BRV', 'ASK') 1 4609
1712534590239376722 ('BRV', 'ASK') 1 4607
1712534590239376717 ('MKU', 'BID') 1 4430
1712534590239376741 ('MKU', 'BID') 1 4425
1712534590239376746 ('BRV', 'ASK') 1 4543
1712534590239376693 ('MKU', 'BID') 1 4421
1712534590239376669 ('MKU', 'BID') 1 4405
1712534590239376853 ('BRV', 'ASK') 1 4581
1712534590239376870 ('BRV', 'ASK') 1 4581
1712534590239376887 ('BRV', 'ASK') 1 4581
1712534590239376904 ('BRV', 'ASK') 1 4581
1712534590239376921 ('BRV', 'ASK') 1 4581
