1712716795001059331 ('IGM', <Side.BUY: 1>) 1 5801 0
[CANCELLED] 1712716795001059718 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059719 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059720 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059721 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059722 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059708 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059723 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059725 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059726 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059727 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059728 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059709 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059729 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059731 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059733 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059734 ('IGM', <Side.SELL: 2>)
1712716795001059744 ('IGM', <Side.BUY: 1>) 1 6048 22
[CANCELLED] 1712716795001059710 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059735 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059737 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059739 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059740 ('BRV', <Side.SELL: 2>)
1712716795001059745 ('BRV', <Side.BUY: 1>) 1 5855 11
1712716795001059771 ('BRV', <Side.SELL: 2>) 2 5898 0
1712716795001059759 ('MKU', <Side.SELL: 2>) 2 5510 0
1712716795001059773 ('BRV', <Side.SELL: 2>) 2 5918 0
1712716795001059775 ('BRV', <Side.SELL: 2>) 2 5938 0
1712716795001059761 ('MKU', <Side.SELL: 2>) 2 5530 0
[CANCELLED] 1712716795001059741 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059746 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059747 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059748 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059749 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059750 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059751 ('EPT', <Side.SELL: 2>)
1712716795001059776 ('EPT', <Side.BUY: 1>) 1 4683 5
[CANCELLED] 1712716795001059742 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059752 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059753 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059754 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059755 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059756 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059757 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059743 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059758 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059760 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059762 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059763 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059764 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059765 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059766 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059767 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059768 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059769 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059770 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059772 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059774 ('BRV', <Side.BUY: 1>)
1712716795001059806 ('BRV', <Side.SELL: 2>) 2 5950 -7
1712716795001059794 ('MKU', <Side.SELL: 2>) 2 5546 0
1712716795001059808 ('BRV', <Side.SELL: 2>) 2 5963 0
1712716795001059796 ('MKU', <Side.SELL: 2>) 2 5566 0
1712716795001059800 ('IGM', <Side.SELL: 2>) 2 6107 0
[CANCELLED] 1712716795001059781 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059782 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059783 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059784 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059785 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059786 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059777 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059787 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059788 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059789 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059790 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059791 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059792 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059778 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059793 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059795 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059797 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059798 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059779 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059799 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059801 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059802 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059803 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059804 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059780 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059805 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059807 ('BRV', <Side.BUY: 1>)
1712716795001059839 ('BRV', <Side.SELL: 2>) 2 6026 0
1712716795001059833 ('IGM', <Side.SELL: 2>) 2 6122 0
1712716795001059809 ('EPT', <Side.BUY: 1>) 1 4680 0
1712716795001059813 ('BRV', <Side.BUY: 1>) 1 5994 0
1712716795001059835 ('IGM', <Side.SELL: 2>) 2 6142 0
[CANCELLED] 1712716795001059814 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059815 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059816 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059817 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059818 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059819 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059810 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059820 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059821 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059822 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059823 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059824 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059825 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059811 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059826 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059827 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059828 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059829 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059830 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059831 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059812 ('IGM', <Side.BUY: 1>)
1712716795001059837 ('IGM', <Side.SELL: 2>) 2 6162 0
[CANCELLED] 1712716795001059832 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059834 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059836 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059838 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059840 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059841 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059842 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059843 ('BRV', <Side.SELL: 2>)
1712716795001059856 ('DLO', <Side.SELL: 2>) 2 5235 0
1712716795001059868 ('IGM', <Side.SELL: 2>) 2 6170 -2
1712716795001059874 ('BRV', <Side.SELL: 2>) 2 6042 0
1712716795001059847 ('IGM', <Side.BUY: 1>) 1 6133 0
[CANCELLED] 1712716795001059844 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059849 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059850 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059851 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059852 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059853 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059854 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059845 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059857 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059858 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059859 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059860 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059846 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059861 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059862 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059863 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059864 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059865 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059866 ('MKU', <Side.SELL: 2>)
1712716795001059867 ('IGM', <Side.BUY: 1>) 2 6113 0
[CANCELLED] 1712716795001059869 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059870 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059871 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059872 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059848 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059873 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059875 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059876 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059877 ('EPT', <Side.BUY: 1>)
1712716795001059880 ('MKU', <Side.BUY: 1>) 1 5588 7
1712716795001059881 ('IGM', <Side.BUY: 1>) 1 6109 29
1712716795001059882 ('BRV', <Side.BUY: 1>) 1 5998 29
1712716795001059901 ('IGM', <Side.BUY: 1>) 2 6109 9
1712716795001059907 ('BRV', <Side.BUY: 1>) 2 5998 9
1712716795001059903 ('IGM', <Side.BUY: 1>) 2 6098 0
1712716795001059884 ('EPT', <Side.SELL: 2>) 2 4711 0
1712716795001059895 ('MKU', <Side.BUY: 1>) 2 5575 0
[CANCELLED] 1712716795001059878 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059883 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059887 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059888 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059879 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059890 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059892 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059893 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059894 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059896 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059897 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059898 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059899 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059900 ('MKU', <Side.SELL: 2>)
1712716795001059915 ('MKU', <Side.BUY: 1>) 1 5569 17
[CANCELLED] 1712716795001059902 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059904 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059905 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059906 ('IGM', <Side.SELL: 2>)
1712716795001059916 ('IGM', <Side.BUY: 1>) 1 6103 13
[CANCELLED] 1712716795001059908 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059909 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059910 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059911 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059912 ('BRV', <Side.SELL: 2>)
1712716795001059917 ('BRV', <Side.BUY: 1>) 1 5988 12
1712716795001059930 ('MKU', <Side.BUY: 1>) 2 5566 0
1712716795001059913 ('EPT', <Side.BUY: 1>) 1 4700 0
1712716795001059942 ('BRV', <Side.BUY: 1>) 1 5979 1
1712716795001059918 ('EPT', <Side.BUY: 1>) 2 4680 0
1712716795001059920 ('EPT', <Side.BUY: 1>) 2 4660 0
1712716795001059932 ('MKU', <Side.BUY: 1>) 2 5546 0
1712716795001059937 ('IGM', <Side.SELL: 2>) 2 6148 0
[CANCELLED] 1712716795001059919 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059921 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059922 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059923 ('EPT', <Side.SELL: 2>)
1712716795001059943 ('EPT', <Side.BUY: 1>) 1 4666 26
[CANCELLED] 1712716795001059914 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059924 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059925 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059926 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059927 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059928 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059929 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059931 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059933 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059934 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059935 ('MKU', <Side.SELL: 2>)
1712716795001059945 ('MKU', <Side.BUY: 1>) 1 5553 5
[CANCELLED] 1712716795001059936 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059938 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059939 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059940 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059941 ('IGM', <Side.SELL: 2>)
1712716795001059948 ('EPT', <Side.BUY: 1>) 2 4667 5
1712716795001059973 ('BRV', <Side.SELL: 2>) 2 6009 0
1712716795001059946 ('IGM', <Side.BUY: 1>) 1 6092 0
[CANCELLED] 1712716795001059949 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059950 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059951 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059952 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059953 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059944 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059955 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059956 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059957 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059958 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059959 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059960 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059961 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059962 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059963 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059964 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059965 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059967 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059968 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059969 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059970 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059971 ('IGM', <Side.SELL: 2>)
1712716795001059981 ('IGM', <Side.BUY: 1>) 1 6103 34
[CANCELLED] 1712716795001059947 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059972 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059974 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059975 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059976 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059977 ('BRV', <Side.SELL: 2>)
1712716795001060001 ('IGM', <Side.BUY: 1>) 2 6103 14
1712716795001059978 ('EPT', <Side.BUY: 1>) 1 4653 0
1712716795001059983 ('EPT', <Side.BUY: 1>) 2 4633 0
1712716795001059980 ('MKU', <Side.BUY: 1>) 1 5540 0
[CANCELLED] 1712716795001059984 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059985 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059986 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059988 ('EPT', <Side.SELL: 2>)
1712716795001060009 ('EPT', <Side.BUY: 1>) 1 4628 50
[CANCELLED] 1712716795001059979 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059989 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059990 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059991 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059992 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059994 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059995 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059996 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059997 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059998 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060000 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060002 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001060003 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060004 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001060005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060006 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059982 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060007 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060008 ('BRV', <Side.SELL: 2>)
1712716795001060014 ('EPT', <Side.BUY: 1>) 2 4628 30
[CANCELLED] 1712716795001060010 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060011 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060012 ('IGM', <Side.BUY: 1>)
1712716795001060027 ('DLO', <Side.SELL: 2>) 2 5315 -22
1712716795001060029 ('DLO', <Side.SELL: 2>) 2 5315 -2
1712716795001060033 ('MKU', <Side.SELL: 2>) 2 5636 -63
1712716795001060035 ('MKU', <Side.SELL: 2>) 2 5636 -43
1712716795001060037 ('MKU', <Side.SELL: 2>) 2 5636 -23
1712716795001060039 ('IGM', <Side.SELL: 2>) 2 6173 -25
1712716795001060041 ('IGM', <Side.SELL: 2>) 2 6173 -5
1712716795001060045 ('BRV', <Side.SELL: 2>) 2 6175 -108
1712716795001060047 ('BRV', <Side.SELL: 2>) 2 6175 -88
1712716795001060049 ('BRV', <Side.SELL: 2>) 2 6175 -68
1712716795001060043 ('IGM', <Side.SELL: 2>) 2 6188 0
1712716795001060015 ('EPT', <Side.BUY: 1>) 1 4615 0
[CANCELLED] 1712716795001060020 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060021 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060022 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060023 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060024 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060025 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060016 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060026 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060028 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060030 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060031 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060017 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060032 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060034 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060036 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060018 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060038 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060040 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060042 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060013 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060019 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060044 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060046 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060048 ('BRV', <Side.BUY: 1>)
1712716795001060051 ('DLO', <Side.BUY: 1>) 1 5321 0
1712716795001060050 ('EPT', <Side.BUY: 1>) 1 4598 0
1712716795001060074 ('IGM', <Side.SELL: 2>) 2 6237 0
[CANCELLED] 1712716795001060055 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060056 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060057 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060058 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060059 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060060 ('EPT', <Side.SELL: 2>)
1712716795001060085 ('EPT', <Side.BUY: 1>) 1 4590 9
[CANCELLED] 1712716795001060061 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060062 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060063 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060064 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060065 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060066 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060052 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060067 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060068 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060069 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060070 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060071 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060072 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060053 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060073 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060075 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060076 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001060077 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001060078 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001060054 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060079 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060080 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001060081 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060082 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001060083 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001060084 ('BRV', <Side.SELL: 2>)
1712716795001060109 ('IGM', <Side.SELL: 2>) 2 6251 0
1712716795001060087 ('MKU', <Side.BUY: 1>) 1 5681 0
1712716795001060086 ('DLO', <Side.BUY: 1>) 1 5322 0
1712716795001060089 ('BRV', <Side.BUY: 1>) 1 6230 0
1712716795001060114 ('BRV', <Side.BUY: 1>) 2 6210 0
1712716795001060102 ('MKU', <Side.BUY: 1>) 2 5661 0
1712716795001060088 ('IGM', <Side.BUY: 1>) 1 6219 0
1712716795001060104 ('MKU', <Side.BUY: 1>) 2 5641 0
1712716795001060108 ('IGM', <Side.BUY: 1>) 2 6199 0
[CANCELLED] 1712716795001060090 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060091 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060092 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060093 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060094 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001060095 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001060096 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060097 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060098 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060099 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060100 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001060101 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001060103 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060105 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060106 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001060107 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001060110 ('IGM', <Side.BUY: 1>)
