[CANCELLED] 1712713202569285888 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791655 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791656 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791657 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791648 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791658 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791649 ('MKU', <Side.BUY: 1>)
1712713214515791660 ('EPT', <Side.BUY: 1>) 1 4836 0
[CANCELLED] 1712713214515791650 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791651 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713214515791665 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791666 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791667 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791668 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791669 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791670 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791661 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791671 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791662 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791663 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791664 ('BRV', <Side.BUY: 1>)
1712713214515791676 ('BRV', <Side.BUY: 1>) 1 5241 0
1712713214515791673 ('DLO', <Side.BUY: 1>) 1 5047 0
1712713214515791675 ('IGM', <Side.BUY: 1>) 1 5631 0
1712713214515791674 ('MKU', <Side.BUY: 1>) 1 5096 0
1712713214515791683 ('DLO', <Side.BUY: 1>) 2 5027 0
1712713214515791689 ('MKU', <Side.BUY: 1>) 2 5076 0
[CANCELLED] 1712713214515791672 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791677 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791678 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791679 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791680 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791681 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791682 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791684 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791685 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791686 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791687 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791688 ('DLO', <Side.SELL: 2>)
1712713214515791692 ('DLO', <Side.BUY: 1>) 1 5038 15
[CANCELLED] 1712713214515791690 ('MKU', <Side.SELL: 2>)
1712713214515791693 ('MKU', <Side.BUY: 1>) 1 5100 25
1712713214515791694 ('IGM', <Side.BUY: 1>) 1 5601 46
1712713214515791695 ('BRV', <Side.BUY: 1>) 1 5217 68
1712713214515791697 ('EPT', <Side.SELL: 2>) 2 4843 0
[CANCELLED] 1712713214515791691 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791696 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791698 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791699 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791700 ('EPT', <Side.BUY: 1>)
1712713214515791702 ('DLO', <Side.BUY: 1>) 1 4989 39
1712713214515791703 ('MKU', <Side.BUY: 1>) 1 5034 46
1712713214515791704 ('IGM', <Side.BUY: 1>) 1 5583 21
1712713214515791705 ('BRV', <Side.BUY: 1>) 1 5122 75
1712713214515791712 ('DLO', <Side.BUY: 1>) 2 4989 19
1712713214515791714 ('DLO', <Side.BUY: 1>) 2 4988 0
1712713214515791701 ('EPT', <Side.BUY: 1>) 1 4827 0
[CANCELLED] 1712713214515791706 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791707 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791708 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791709 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791710 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791711 ('EPT', <Side.SELL: 2>)
1712713214515791715 ('EPT', <Side.BUY: 1>) 1 4815 36
[CANCELLED] 1712713214515791713 ('DLO', <Side.SELL: 2>)
1712713214515791717 ('MKU', <Side.BUY: 1>) 1 5045 13
1712713214515791720 ('EPT', <Side.BUY: 1>) 2 4804 27
1712713214515791722 ('EPT', <Side.BUY: 1>) 2 4804 7
1712713214515791732 ('MKU', <Side.BUY: 1>) 2 5038 0
1712713214515791716 ('DLO', <Side.BUY: 1>) 1 4992 0
1712713214515791719 ('BRV', <Side.BUY: 1>) 1 5137 0
[CANCELLED] 1712713214515791721 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791723 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791724 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791725 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791726 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791727 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791728 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791729 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791730 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791731 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791733 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791718 ('IGM', <Side.BUY: 1>)
1712713214515791734 ('EPT', <Side.BUY: 1>) 1 4812 0
1712713214515791739 ('EPT', <Side.BUY: 1>) 2 4792 0
1712713214515791736 ('MKU', <Side.BUY: 1>) 1 5017 0
1712713214515791741 ('EPT', <Side.BUY: 1>) 2 4772 0
[CANCELLED] 1712713214515791740 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791742 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791743 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791744 ('EPT', <Side.SELL: 2>)
1712713214515791746 ('EPT', <Side.BUY: 1>) 1 4776 33
[CANCELLED] 1712713214515791735 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791745 ('DLO', <Side.BUY: 1>)
1712713214515791748 ('MKU', <Side.BUY: 1>) 1 5010 3
[CANCELLED] 1712713214515791737 ('IGM', <Side.BUY: 1>)
1712713214515791749 ('IGM', <Side.BUY: 1>) 1 5611 21
[CANCELLED] 1712713214515791738 ('BRV', <Side.BUY: 1>)
1712713214515791751 ('EPT', <Side.BUY: 1>) 2 4776 13
1712713214515791747 ('DLO', <Side.BUY: 1>) 1 4976 0
1712713214515791750 ('BRV', <Side.BUY: 1>) 1 5115 0
1712713214515791757 ('DLO', <Side.BUY: 1>) 2 4956 0
[CANCELLED] 1712713214515791752 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791753 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791754 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791755 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791756 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791758 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791759 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791760 ('DLO', <Side.SELL: 2>)
1712713214515791762 ('DLO', <Side.BUY: 1>) 1 4951 39
1712713214515791763 ('MKU', <Side.BUY: 1>) 1 4965 39
1712713214515791764 ('IGM', <Side.BUY: 1>) 1 5532 61
1712713214515791765 ('BRV', <Side.BUY: 1>) 1 5081 42
1712713214515791772 ('DLO', <Side.BUY: 1>) 2 4951 19
1712713214515791774 ('DLO', <Side.BUY: 1>) 2 4950 0
1712713214515791761 ('EPT', <Side.BUY: 1>) 1 4773 0
[CANCELLED] 1712713214515791766 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791767 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791768 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791769 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791770 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791771 ('EPT', <Side.SELL: 2>)
1712713214515791777 ('EPT', <Side.BUY: 1>) 1 4770 5
[CANCELLED] 1712713214515791773 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791775 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791776 ('DLO', <Side.BUY: 1>)
1712713214515791780 ('IGM', <Side.BUY: 1>) 1 5562 26
1712713214515791778 ('DLO', <Side.BUY: 1>) 1 4986 0
1712713214515791782 ('EPT', <Side.BUY: 1>) 2 4755 0
[CANCELLED] 1712713214515791783 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791784 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791785 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791786 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791787 ('EPT', <Side.SELL: 2>)
1712713214515791789 ('EPT', <Side.BUY: 1>) 1 4753 17
[CANCELLED] 1712713214515791788 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791779 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791781 ('BRV', <Side.BUY: 1>)
1712713214515791791 ('EPT', <Side.BUY: 1>) 1 4759 1
[CANCELLED] 1712713214515791790 ('DLO', <Side.BUY: 1>)
1712713214515791803 ('DLO', <Side.SELL: 2>) 2 4996 0
[CANCELLED] 1712713214515791796 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791797 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791798 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791799 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791800 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791801 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791792 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791802 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791804 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791805 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791806 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791793 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791794 ('IGM', <Side.BUY: 1>)
1712713214515791810 ('IGM', <Side.BUY: 1>) 1 5561 23
[CANCELLED] 1712713214515791795 ('BRV', <Side.BUY: 1>)
1712713214515791819 ('DLO', <Side.SELL: 2>) 2 4994 0
[CANCELLED] 1712713214515791807 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791812 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791813 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791814 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791815 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791816 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791817 ('EPT', <Side.SELL: 2>)
1712713214515791821 ('EPT', <Side.BUY: 1>) 1 4746 0
[CANCELLED] 1712713214515791808 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791818 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791820 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791809 ('MKU', <Side.BUY: 1>)
1712713214515791823 ('MKU', <Side.BUY: 1>) 1 5058 19
1712713214515791824 ('IGM', <Side.BUY: 1>) 1 5534 54
[CANCELLED] 1712713214515791811 ('BRV', <Side.BUY: 1>)
1712713214515791825 ('BRV', <Side.BUY: 1>) 1 5248 10
1712713214515791826 ('EPT', <Side.BUY: 1>) 2 4726 0
1712713214515791822 ('DLO', <Side.BUY: 1>) 1 4997 0
[CANCELLED] 1712713214515791827 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791828 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791829 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791830 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791831 ('EPT', <Side.SELL: 2>)
1712713214515791832 ('EPT', <Side.BUY: 1>) 1 4720 17
1712713214515791834 ('MKU', <Side.BUY: 1>) 1 5020 22
1712713214515791835 ('IGM', <Side.BUY: 1>) 1 5545 6
1712713214515791836 ('BRV', <Side.BUY: 1>) 1 5210 20
1712713214515791837 ('EPT', <Side.BUY: 1>) 2 4717 0
1712713214515791833 ('DLO', <Side.BUY: 1>) 1 4993 0
[CANCELLED] 1712713214515791838 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791839 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791840 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791841 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791842 ('EPT', <Side.SELL: 2>)
1712713214515791844 ('EPT', <Side.BUY: 1>) 1 4709 18
[CANCELLED] 1712713214515791843 ('DLO', <Side.BUY: 1>)
1712713214515791849 ('EPT', <Side.BUY: 1>) 2 4706 1
1712713214515791856 ('DLO', <Side.SELL: 2>) 2 5033 -9
1712713214515791862 ('MKU', <Side.SELL: 2>) 2 5096 -20
1712713214515791858 ('DLO', <Side.SELL: 2>) 2 5044 0
1712713214515791850 ('EPT', <Side.SELL: 2>) 2 4749 0
1712713214515791847 ('IGM', <Side.BUY: 1>) 1 5548 0
[CANCELLED] 1712713214515791851 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791852 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791853 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791854 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791845 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791857 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791859 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791860 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791846 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791861 ('MKU', <Side.BUY: 1>)
1712713214515791866 ('IGM', <Side.BUY: 1>) 1 5522 24
[CANCELLED] 1712713214515791848 ('BRV', <Side.BUY: 1>)
1712713214515791867 ('BRV', <Side.BUY: 1>) 1 5273 18
1712713214515791869 ('EPT', <Side.SELL: 2>) 2 4766 -29
1712713214515791871 ('EPT', <Side.SELL: 2>) 2 4766 -9
1712713214515791875 ('DLO', <Side.SELL: 2>) 1 5036 0
[CANCELLED] 1712713214515791863 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791868 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791870 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791872 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791873 ('EPT', <Side.SELL: 2>)
1712713214515791876 ('EPT', <Side.BUY: 1>) 1 4732 35
[CANCELLED] 1712713214515791864 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791874 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791865 ('MKU', <Side.BUY: 1>)
1712713214515791881 ('EPT', <Side.BUY: 1>) 2 4732 15
1712713214515791888 ('DLO', <Side.SELL: 2>) 2 5073 -16
1712713214515791894 ('MKU', <Side.SELL: 2>) 2 5126 -14
1712713214515791900 ('IGM', <Side.SELL: 2>) 2 5621 -71
1712713214515791902 ('IGM', <Side.SELL: 2>) 2 5621 -51
1712713214515791880 ('BRV', <Side.BUY: 1>) 1 5260 0
1712713214515791882 ('EPT', <Side.SELL: 2>) 2 4799 0
[CANCELLED] 1712713214515791883 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791884 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791877 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791887 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791890 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791892 ('DLO', <Side.SELL: 2>)
1712713214515791905 ('DLO', <Side.BUY: 1>) 1 5038 2
[CANCELLED] 1712713214515791878 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791893 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791895 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791896 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791897 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791898 ('MKU', <Side.SELL: 2>)
1712713214515791906 ('MKU', <Side.BUY: 1>) 1 5095 4
1712713214515791879 ('IGM', <Side.BUY: 1>) 1 5509 0
[CANCELLED] 1712713214515791899 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791901 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791903 ('IGM', <Side.BUY: 1>)
1712713214515791907 ('IGM', <Side.BUY: 1>) 1 5501 37
1712713214515791908 ('BRV', <Side.BUY: 1>) 1 5231 46
1712713214515791904 ('EPT', <Side.BUY: 1>) 1 4784 0
1712713214515791915 ('DLO', <Side.BUY: 1>) 2 5020 0
[CANCELLED] 1712713214515791909 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791910 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791911 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791912 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791913 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791914 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791916 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791917 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791918 ('DLO', <Side.SELL: 2>)
1712713214515791920 ('DLO', <Side.BUY: 1>) 1 5025 2
1712713214515791921 ('MKU', <Side.BUY: 1>) 1 5071 9
1712713214515791923 ('BRV', <Side.BUY: 1>) 1 5209 32
1712713214515791925 ('EPT', <Side.SELL: 2>) 2 4820 0
1712713214515791927 ('EPT', <Side.SELL: 2>) 2 4840 0
1712713214515791922 ('IGM', <Side.BUY: 1>) 1 5542 0
[CANCELLED] 1712713214515791919 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791924 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791926 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791928 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791929 ('EPT', <Side.SELL: 2>)
1712713214515791944 ('EPT', <Side.BUY: 1>) 1 4839 14
[CANCELLED] 1712713214515791930 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791931 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791932 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791933 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791934 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791935 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791936 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791937 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791938 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791939 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791940 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791941 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791942 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791943 ('IGM', <Side.SELL: 2>)
1712713214515791949 ('EPT', <Side.BUY: 1>) 2 4833 0
[CANCELLED] 1712713214515791950 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791951 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791952 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791953 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791954 ('EPT', <Side.SELL: 2>)
1712713214515791961 ('EPT', <Side.BUY: 1>) 1 4840 1
[CANCELLED] 1712713214515791945 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791955 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791956 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791957 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791958 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791959 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791960 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791946 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791947 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791948 ('BRV', <Side.BUY: 1>)
1712713214515791966 ('EPT', <Side.BUY: 1>) 2 4821 0
1712713214515791962 ('DLO', <Side.BUY: 1>) 1 5029 0
1712713214515791979 ('MKU', <Side.SELL: 2>) 2 5149 0
1712713214515791968 ('EPT', <Side.BUY: 1>) 2 4801 0
[CANCELLED] 1712713214515791967 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791969 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791970 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791971 ('EPT', <Side.SELL: 2>)
1712713214515791983 ('EPT', <Side.BUY: 1>) 1 4788 16
[CANCELLED] 1712713214515791972 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791973 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791974 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791975 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791976 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791977 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791963 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791978 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791980 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791981 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791982 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791964 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791965 ('BRV', <Side.BUY: 1>)
1712713214515791988 ('EPT', <Side.BUY: 1>) 2 4784 0
1712713214515791990 ('EPT', <Side.BUY: 1>) 2 4764 0
1712713214515791992 ('EPT', <Side.BUY: 1>) 2 4744 0
[CANCELLED] 1712713214515791989 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791991 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791993 ('EPT', <Side.SELL: 2>)
1712713214515792001 ('EPT', <Side.BUY: 1>) 1 4710 35
[CANCELLED] 1712713214515791984 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791994 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791995 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791996 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791997 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791998 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791999 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791985 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792000 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791986 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791987 ('BRV', <Side.BUY: 1>)
1712713214515792006 ('EPT', <Side.BUY: 1>) 2 4710 15
1712713214515792008 ('EPT', <Side.BUY: 1>) 2 4705 0
1712713214515792010 ('EPT', <Side.BUY: 1>) 2 4685 0
1712713214515792019 ('MKU', <Side.SELL: 2>) 2 5184 0
[CANCELLED] 1712713214515792007 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792009 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792011 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792002 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792012 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792013 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792014 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792015 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792016 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792017 ('DLO', <Side.SELL: 2>)
1712713214515792025 ('DLO', <Side.BUY: 1>) 1 5018 1
[CANCELLED] 1712713214515792003 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792018 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792020 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792021 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515792022 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792023 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515792004 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515792005 ('BRV', <Side.BUY: 1>)
1712713214515792028 ('BRV', <Side.BUY: 1>) 1 5445 0
1712713214515792026 ('MKU', <Side.BUY: 1>) 1 5171 0
1712713214515792024 ('EPT', <Side.BUY: 1>) 1 4669 0
1712713214515792027 ('IGM', <Side.BUY: 1>) 1 5740 0
1712713214515792041 ('MKU', <Side.BUY: 1>) 2 5151 0
1712713214515792035 ('DLO', <Side.BUY: 1>) 2 4999 0
[CANCELLED] 1712713214515792029 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792030 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792031 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792032 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792033 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792034 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792036 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792037 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792038 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792039 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792040 ('DLO', <Side.SELL: 2>)
1712713214515792044 ('DLO', <Side.BUY: 1>) 1 4991 9
[CANCELLED] 1712713214515792042 ('MKU', <Side.SELL: 2>)
1712713214515792045 ('MKU', <Side.BUY: 1>) 1 5128 23
1712713214515792047 ('BRV', <Side.BUY: 1>) 1 5384 19
