[REJECTED] 1712706515662629632 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336597 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336598 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336600 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336601 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336602 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336603 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336604 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336605 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336606 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336607 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336608 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336609 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336610 ('BRV', <Side.SELL: 2>)
1712706556233336579 ('IGM', <Side.BUY: 1>) 2 5542 0
1712706556233336599 ('IGM', <Side.BUY: 1>) 2 5522 0
[REJECTED] 1712706556233336611 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336612 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336613 ('MKU', <Side.BUY: 1>)
1712706556233336614 ('IGM', <Side.BUY: 1>) 2 5521 37
[REJECTED] 1712706556233336615 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336616 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336617 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336618 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336619 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336620 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336621 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336622 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336623 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336624 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336625 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336626 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336627 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336628 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336629 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336630 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336631 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336632 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336633 ('MKU', <Side.SELL: 2>)
1712706556233336634 ('IGM', <Side.BUY: 1>) 2 5521 17
[REJECTED] 1712706556233336637 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336638 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336639 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336640 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336641 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336642 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336643 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336644 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336645 ('BRV', <Side.SELL: 2>)
1712706556233336636 ('IGM', <Side.BUY: 1>) 2 5518 0
[REJECTED] 1712706556233336646 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336647 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336648 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336650 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336651 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336652 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336653 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336654 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336655 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336656 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336657 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336658 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336659 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336660 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336661 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336662 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336663 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336664 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336665 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336666 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336667 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336668 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336669 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336670 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336671 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336672 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336673 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336674 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336675 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336676 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336677 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336678 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336679 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336680 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336681 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336682 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336683 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336684 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336685 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336686 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336687 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336688 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336689 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336690 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336691 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336692 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336693 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336694 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336695 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336696 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336697 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336698 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336699 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336700 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336701 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336702 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336703 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336704 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336705 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336706 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336707 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336708 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336709 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336710 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336711 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336712 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336713 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336714 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336715 ('BRV', <Side.SELL: 2>)
1712706556233336649 ('IGM', <Side.BUY: 1>) 1 5499 0
[REJECTED] 1712706556233336716 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336717 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336718 ('MKU', <Side.BUY: 1>)
1712706556233336719 ('IGM', <Side.BUY: 1>) 1 5492 7
[REJECTED] 1712706556233336720 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336721 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336722 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336723 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336724 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336725 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336726 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336727 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336728 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336729 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336730 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336731 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336732 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336733 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336734 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336735 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336736 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336737 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336738 ('MKU', <Side.SELL: 2>)
1712706556233336739 ('IGM', <Side.BUY: 1>) 2 5477 2
[REJECTED] 1712706556233336741 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336742 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336743 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706556233336744 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706556233336745 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336746 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336747 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336748 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336749 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336750 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706574753222912 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706574753222913 ('DLO', <Side.BUY: 1>)
1712706574753222914 ('IGM', <Side.BUY: 1>) 2 5546 30
[REJECTED] 1712706574753222915 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706574753222916 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706574753222917 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706574753222918 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706574753222919 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706574753222920 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706574753222921 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706574753222922 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706574753222923 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706574753222924 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706574753222925 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706574753222926 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706574753222927 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706574753222929 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706574753222930 ('MKU', <Side.SELL: 2>)
1712706574753222931 ('IGM', <Side.BUY: 1>) 2 5546 10
[REJECTED] 1712706574753222937 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706574753222938 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706574753222939 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706574753222940 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706574753222941 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706574753222942 ('BRV', <Side.SELL: 2>)
1712706574753222933 ('IGM', <Side.BUY: 1>) 2 5536 0
1712706574753222935 ('IGM', <Side.BUY: 1>) 2 5516 0
[REJECTED] 1712706577758132480 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132481 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132482 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132483 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132484 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132485 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132486 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132487 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132488 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132489 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132490 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132491 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132492 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132493 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132494 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132495 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132496 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132497 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132498 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132499 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132500 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132501 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132502 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132503 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132504 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132505 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132506 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132507 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132508 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132509 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132510 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132511 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132512 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132513 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132514 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132515 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132516 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132517 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132518 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132519 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132520 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132521 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132522 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132523 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132524 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132525 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132526 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132527 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132528 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132529 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132530 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132531 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132532 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132533 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132534 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132535 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132536 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132537 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132538 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132539 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132540 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132541 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132542 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132543 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132544 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132545 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132546 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132547 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132548 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132549 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132550 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132551 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132552 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132553 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132554 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132555 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132556 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132557 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132558 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132559 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132560 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132561 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132562 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132563 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132564 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132565 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132566 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132567 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132568 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132569 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132570 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132571 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132572 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132573 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132574 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132575 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132576 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132577 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132578 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132579 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132580 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132581 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132582 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132583 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132584 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132585 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132586 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132587 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132588 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132589 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132590 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132591 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132592 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132593 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132594 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132595 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132596 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132597 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132598 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132599 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132600 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132601 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132602 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132603 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132604 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132605 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132606 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132607 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132608 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132609 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132610 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132611 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132612 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132613 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132614 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132615 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132616 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132617 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132618 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132619 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132620 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132621 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132622 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132623 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132624 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132625 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132626 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132627 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132628 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132629 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132630 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132631 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132632 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132633 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132634 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132635 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132636 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132637 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132638 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132639 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132640 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132641 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132642 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132643 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132644 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132645 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132646 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132647 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132648 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132649 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132650 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132651 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132652 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132653 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132654 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132655 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132656 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132657 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132658 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132659 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132660 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132661 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132662 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132663 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132664 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132665 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132666 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132667 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132668 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132669 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132670 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132671 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132672 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132673 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132674 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706577758132675 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706577758132676 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132677 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132678 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132679 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132680 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706577758132681 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706577758132682 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132683 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132684 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706577758132685 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132686 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132687 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132688 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132689 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706577758132690 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706577758132691 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132692 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132693 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132694 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706577758132695 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706577758132696 ('BRV', <Side.SELL: 2>)
1712706593883982337 ('DLO', <Side.BUY: 1>) 1 4872 14
1712706593883982338 ('MKU', <Side.BUY: 1>) 1 4871 28
