1712717966233274882 ('MKU', <Side.BUY: 1>) 1 5036 1
[CANCELLED] 1712717966233275957 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275939 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275959 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275961 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275963 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275964 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275940 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275965 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275967 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275969 ('BRV', <Side.BUY: 1>)
1712717966233275973 ('EPT', <Side.BUY: 1>) 1 4700 7
[CANCELLED] 1712717966233275971 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275972 ('MKU', <Side.BUY: 1>)
1712717966233275985 ('DLO', <Side.SELL: 2>) 2 5119 -3
1712717966233275991 ('MKU', <Side.SELL: 2>) 2 5165 -38
1712717966233275993 ('MKU', <Side.SELL: 2>) 2 5165 -18
1712717966233275997 ('IGM', <Side.SELL: 2>) 2 5787 -47
1712717966233275999 ('IGM', <Side.SELL: 2>) 2 5787 -27
1712717966233276001 ('IGM', <Side.SELL: 2>) 2 5787 -7
1712717966233276003 ('BRV', <Side.SELL: 2>) 2 5444 -68
1712717966233276005 ('BRV', <Side.SELL: 2>) 2 5444 -48
1712717966233275987 ('DLO', <Side.SELL: 2>) 2 5136 0
1712717966233276007 ('BRV', <Side.SELL: 2>) 2 5444 -28
1712717966233275995 ('MKU', <Side.SELL: 2>) 2 5167 0
[CANCELLED] 1712717966233275978 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275979 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275980 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275981 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275982 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275983 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275974 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275984 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275986 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275988 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275989 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275975 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275990 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275992 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275994 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275976 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275996 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275998 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276000 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275977 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276002 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276004 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276006 ('BRV', <Side.BUY: 1>)
1712717966233276011 ('IGM', <Side.BUY: 1>) 1 5797 0
1712717966233276038 ('BRV', <Side.SELL: 2>) 2 5510 0
1712717966233276040 ('BRV', <Side.SELL: 2>) 2 5530 0
1712717966233276026 ('MKU', <Side.SELL: 2>) 2 5223 0
[CANCELLED] 1712717966233276008 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276013 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276014 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276015 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276016 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276017 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276018 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276009 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276019 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276020 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276021 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276022 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276023 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276024 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276010 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276025 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276027 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276028 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276029 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276030 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276031 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276032 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276033 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276034 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276035 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276036 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276012 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276037 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276039 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276041 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276042 ('BRV', <Side.SELL: 2>)
1712717966233276061 ('MKU', <Side.SELL: 2>) 2 5240 -4
1712717966233276073 ('BRV', <Side.SELL: 2>) 2 5536 -7
1712717966233276046 ('IGM', <Side.BUY: 1>) 1 5782 0
1712717966233276063 ('MKU', <Side.SELL: 2>) 2 5256 0
1712717966233276065 ('MKU', <Side.SELL: 2>) 2 5276 0
1712717966233276049 ('EPT', <Side.SELL: 2>) 2 4724 0
[CANCELLED] 1712717966233276043 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276048 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276050 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276051 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276052 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276053 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276044 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276054 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276055 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276056 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276057 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276058 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276059 ('DLO', <Side.SELL: 2>)
1712717966233276066 ('IGM', <Side.BUY: 1>) 2 5762 0
[CANCELLED] 1712717966233276045 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276060 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276062 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276064 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276067 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276068 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276069 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276070 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276071 ('IGM', <Side.SELL: 2>)
1712717966233276078 ('IGM', <Side.BUY: 1>) 1 5752 17
[CANCELLED] 1712717966233276047 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276072 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276074 ('BRV', <Side.BUY: 1>)
1712717966233276098 ('IGM', <Side.BUY: 1>) 2 5749 0
1712717966233276100 ('IGM', <Side.BUY: 1>) 2 5729 0
1712717966233276079 ('BRV', <Side.BUY: 1>) 1 5565 0
1712717966233276076 ('DLO', <Side.BUY: 1>) 1 5168 0
1712717966233276077 ('MKU', <Side.BUY: 1>) 1 5271 0
1712717966233276104 ('BRV', <Side.BUY: 1>) 2 5545 0
1712717966233276081 ('EPT', <Side.SELL: 2>) 2 4744 0
1712717966233276102 ('IGM', <Side.BUY: 1>) 2 5709 0
[CANCELLED] 1712717966233276075 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276080 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276082 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276083 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276085 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276086 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276087 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276088 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276089 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276090 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276091 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276092 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276093 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276094 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276095 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276097 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276099 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276101 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276103 ('IGM', <Side.SELL: 2>)
1712717966233276113 ('IGM', <Side.BUY: 1>) 1 5702 12
[CANCELLED] 1712717966233276105 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276106 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276107 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276108 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276109 ('BRV', <Side.SELL: 2>)
1712717966233276114 ('BRV', <Side.BUY: 1>) 1 5526 0
1712717966233276133 ('IGM', <Side.BUY: 1>) 2 5694 0
1712717966233276116 ('EPT', <Side.SELL: 2>) 2 4763 0
1712717966233276135 ('IGM', <Side.BUY: 1>) 2 5674 0
[CANCELLED] 1712717966233276110 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276115 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276118 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276119 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276120 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276111 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276121 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276122 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276124 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276125 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276126 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276112 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276127 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276128 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276129 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276130 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276131 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276132 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276134 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276136 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276137 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276138 ('IGM', <Side.SELL: 2>)
1712717966233276148 ('IGM', <Side.BUY: 1>) 1 5658 3
[CANCELLED] 1712717966233276139 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276140 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276141 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276142 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276143 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276144 ('BRV', <Side.SELL: 2>)
1712717966233276163 ('MKU', <Side.SELL: 2>) 2 5278 0
1712717966233276151 ('EPT', <Side.SELL: 2>) 2 4796 0
1712717966233276168 ('IGM', <Side.BUY: 1>) 2 5641 0
1712717966233276165 ('MKU', <Side.SELL: 2>) 2 5298 0
1712717966233276170 ('IGM', <Side.BUY: 1>) 2 5621 0
1712717966233276172 ('IGM', <Side.BUY: 1>) 2 5601 0
1712717966233276175 ('BRV', <Side.SELL: 2>) 2 5551 0
[CANCELLED] 1712717966233276145 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276150 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276152 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276153 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276154 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276155 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276146 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276156 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276157 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276158 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276159 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276160 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276161 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276147 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276162 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276164 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276166 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276167 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276169 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276171 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276173 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276149 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276174 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276176 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276177 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276178 ('BRV', <Side.BUY: 1>)
1712717966233276209 ('BRV', <Side.SELL: 2>) 2 5570 0
1712717966233276179 ('EPT', <Side.BUY: 1>) 1 4802 0
[CANCELLED] 1712717966233276184 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276185 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276186 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276187 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276188 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276189 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276180 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276190 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276191 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276192 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276193 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276194 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276195 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276181 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276196 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276197 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276198 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276199 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276200 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276201 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276182 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276202 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276203 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276204 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276205 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276206 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276207 ('IGM', <Side.SELL: 2>)
1712717966233276217 ('IGM', <Side.BUY: 1>) 1 5607 6
[CANCELLED] 1712717966233276183 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276208 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276210 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276211 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276212 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276213 ('BRV', <Side.SELL: 2>)
1712717966233276237 ('IGM', <Side.BUY: 1>) 2 5593 0
1712717966233276220 ('EPT', <Side.SELL: 2>) 2 4830 0
1712717966233276222 ('EPT', <Side.SELL: 2>) 2 4850 0
1712717966233276239 ('IGM', <Side.BUY: 1>) 2 5573 0
1712717966233276241 ('IGM', <Side.BUY: 1>) 2 5553 0
1712717966233276218 ('BRV', <Side.BUY: 1>) 1 5581 0
[CANCELLED] 1712717966233276214 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276219 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276221 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276223 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276224 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276215 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276225 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276226 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276227 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276228 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276229 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276230 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276216 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276231 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276232 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276233 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276234 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276235 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276236 ('MKU', <Side.SELL: 2>)
1712717966233276248 ('MKU', <Side.BUY: 1>) 1 5330 6
[CANCELLED] 1712717966233276238 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276240 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276242 ('IGM', <Side.SELL: 2>)
1712717966233276249 ('IGM', <Side.BUY: 1>) 1 5559 15
[CANCELLED] 1712717966233276243 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276244 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233276245 ('BRV', <Side.BUY: 1>)
1712717966233276250 ('BRV', <Side.BUY: 1>) 1 5578 15
1712717966233276246 ('EPT', <Side.BUY: 1>) 1 4828 0
1712717966233276263 ('MKU', <Side.BUY: 1>) 2 5316 0
1712717966233276251 ('EPT', <Side.BUY: 1>) 2 4808 0
1712717966233276253 ('EPT', <Side.BUY: 1>) 2 4788 0
1712717966233276276 ('BRV', <Side.SELL: 2>) 2 5627 0
1712717966233276278 ('BRV', <Side.SELL: 2>) 2 5647 0
[CANCELLED] 1712717966233276252 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276254 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276255 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276256 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276247 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276257 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276258 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276259 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276260 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276261 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276262 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276264 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276265 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276266 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276267 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276268 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276269 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276270 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276271 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276272 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276273 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276274 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276275 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276277 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276279 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276280 ('BRV', <Side.SELL: 2>)
1712717966233276299 ('MKU', <Side.SELL: 2>) 2 5356 -10
1712717966233276311 ('BRV', <Side.SELL: 2>) 2 5663 -18
1712717966233276313 ('BRV', <Side.SELL: 2>) 2 5665 0
1712717966233276301 ('MKU', <Side.SELL: 2>) 2 5366 0
1712717966233276315 ('BRV', <Side.SELL: 2>) 2 5685 0
1712717966233276281 ('EPT', <Side.BUY: 1>) 1 4773 0
1712717966233276305 ('IGM', <Side.SELL: 2>) 2 5645 0
1712717966233276293 ('DLO', <Side.SELL: 2>) 2 5229 0
[CANCELLED] 1712717966233276286 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276287 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276288 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276289 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276290 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276291 ('EPT', <Side.SELL: 2>)
1712717966233276316 ('EPT', <Side.BUY: 1>) 1 4768 6
[CANCELLED] 1712717966233276282 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276292 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276294 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276295 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276296 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276297 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276283 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276298 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276300 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276302 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276303 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276284 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276304 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276306 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276307 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276308 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276309 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276285 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276310 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276312 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276314 ('BRV', <Side.BUY: 1>)
1712717966233276328 ('DLO', <Side.SELL: 2>) 2 5248 0
1712717966233276346 ('BRV', <Side.SELL: 2>) 2 5741 0
1712717966233276348 ('BRV', <Side.SELL: 2>) 2 5761 0
1712717966233276340 ('IGM', <Side.SELL: 2>) 2 5664 0
1712717966233276330 ('DLO', <Side.SELL: 2>) 2 5268 0
1712717966233276350 ('BRV', <Side.SELL: 2>) 2 5781 0
1712717966233276334 ('MKU', <Side.SELL: 2>) 2 5405 0
1712717966233276321 ('EPT', <Side.BUY: 1>) 2 4754 0
[CANCELLED] 1712717966233276322 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276323 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276324 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233276325 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233276326 ('EPT', <Side.SELL: 2>)
1712717966233276351 ('EPT', <Side.BUY: 1>) 1 4754 1
[CANCELLED] 1712717966233276317 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276327 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276329 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276331 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233276332 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233276318 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276333 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276335 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276336 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276337 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233276338 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233276319 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276339 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276341 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276342 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276343 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233276344 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233276320 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276345 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276347 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233276349 ('BRV', <Side.BUY: 1>)
1712717966233276375 ('IGM', <Side.SELL: 2>) 2 5683 0
