[REJECTED] 1712714554023991818 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992200 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992201 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992202 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992188 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992203 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992204 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992205 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992206 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992207 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992208 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992210 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992211 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992212 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992213 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992214 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992190 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992215 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992217 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992218 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992219 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992220 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992231 ('EPT', <Side.SELL: 2>)
1712714554023992251 ('BRV', <Side.SELL: 2>) 2 6025 -4
1712714554023992239 ('MKU', <Side.SELL: 2>) 2 5640 0
1712714554023992253 ('BRV', <Side.SELL: 2>) 2 6041 0
1712714554023992233 ('DLO', <Side.SELL: 2>) 2 5298 0
1712714554023992221 ('EPT', <Side.BUY: 1>) 1 4803 0
1712714554023992241 ('MKU', <Side.SELL: 2>) 2 5660 0
1712714554023992224 ('IGM', <Side.BUY: 1>) 1 5802 0
1712714554023992244 ('IGM', <Side.BUY: 1>) 2 5782 0
[CANCELLED] 1712714554023992226 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992227 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992228 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992229 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992230 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992222 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992232 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992234 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992235 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992236 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992237 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992223 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992238 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992240 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992242 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992243 ('MKU', <Side.SELL: 2>)
1712714554023992256 ('MKU', <Side.BUY: 1>) 1 5666 5
[CANCELLED] 1712714554023992245 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992246 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992247 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992248 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992249 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992225 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992250 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992252 ('BRV', <Side.BUY: 1>)
1712714554023992258 ('BRV', <Side.BUY: 1>) 1 6050 6
[REJECTED] 1712714554023992264 ('EPT', <Side.SELL: 2>)
1712714554023992254 ('EPT', <Side.BUY: 1>) 1 4829 0
1712714554023992283 ('BRV', <Side.BUY: 1>) 2 6036 0
1712714554023992271 ('MKU', <Side.BUY: 1>) 2 5651 0
1712714554023992255 ('DLO', <Side.BUY: 1>) 1 5281 0
1712714554023992278 ('IGM', <Side.SELL: 2>) 2 5805 0
1712714554023992285 ('BRV', <Side.BUY: 1>) 2 6016 0
1712714554023992273 ('MKU', <Side.BUY: 1>) 2 5631 0
1712714554023992287 ('BRV', <Side.BUY: 1>) 2 5996 0
1712714554023992275 ('MKU', <Side.BUY: 1>) 2 5611 0
1712714554023992265 ('DLO', <Side.BUY: 1>) 2 5261 0
[CANCELLED] 1712714554023992259 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992260 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992261 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992262 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992263 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992266 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992267 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992268 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992269 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992270 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992272 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992274 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992276 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992257 ('IGM', <Side.BUY: 1>)
1712714554023992291 ('MKU', <Side.BUY: 1>) 1 5576 0
[CANCELLED] 1712714554023992277 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992279 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992280 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992281 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992282 ('IGM', <Side.SELL: 2>)
1712714554023992292 ('IGM', <Side.BUY: 1>) 1 5790 12
[CANCELLED] 1712714554023992284 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992286 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992288 ('BRV', <Side.SELL: 2>)
1712714554023992293 ('BRV', <Side.BUY: 1>) 1 5926 18
[REJECTED] 1712714554023992299 ('EPT', <Side.SELL: 2>)
1712714554023992312 ('IGM', <Side.BUY: 1>) 2 5782 0
1712714554023992314 ('IGM', <Side.BUY: 1>) 2 5762 0
1712714554023992318 ('BRV', <Side.BUY: 1>) 2 5924 0
1712714554023992290 ('DLO', <Side.BUY: 1>) 1 5248 0
1712714554023992316 ('IGM', <Side.BUY: 1>) 2 5742 0
1712714554023992295 ('EPT', <Side.SELL: 2>) 2 4836 0
1712714554023992320 ('BRV', <Side.BUY: 1>) 2 5904 0
[CANCELLED] 1712714554023992289 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992294 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992296 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992297 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992298 ('EPT', <Side.BUY: 1>)
1712714554023992324 ('EPT', <Side.BUY: 1>) 1 4841 1
[CANCELLED] 1712714554023992300 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992301 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992302 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992303 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992304 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992305 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992306 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992307 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992308 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992309 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992310 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992311 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992313 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992315 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992317 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992319 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992321 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992322 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992323 ('BRV', <Side.SELL: 2>)
1712714554023992348 ('IGM', <Side.SELL: 2>) 2 5746 0
1712714554023992354 ('BRV', <Side.SELL: 2>) 2 5921 0
1712714554023992342 ('MKU', <Side.SELL: 2>) 2 5588 0
1712714554023992344 ('MKU', <Side.SELL: 2>) 2 5608 0
1712714554023992356 ('BRV', <Side.SELL: 2>) 2 5941 0
[CANCELLED] 1712714554023992329 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992330 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992331 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992332 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992333 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992334 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992325 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992335 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992336 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992337 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992338 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992339 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992340 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992326 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992341 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992343 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992345 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992346 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992327 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992347 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992349 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992350 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992351 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992352 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992328 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992353 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992355 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992357 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992358 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992369 ('EPT', <Side.SELL: 2>)
1712714554023992377 ('MKU', <Side.SELL: 2>) 2 5614 -7
1712714554023992389 ('BRV', <Side.SELL: 2>) 2 5958 -18
1712714554023992379 ('MKU', <Side.SELL: 2>) 2 5627 0
1712714554023992362 ('IGM', <Side.BUY: 1>) 1 5745 0
1712714554023992371 ('DLO', <Side.SELL: 2>) 2 5268 0
[CANCELLED] 1712714554023992359 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992364 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992365 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992366 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992367 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992368 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992360 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992370 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992372 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992373 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992374 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992375 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992361 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992376 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992378 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992380 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992381 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992382 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992383 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992384 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992385 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992386 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992387 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992363 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992388 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992390 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023992401 ('EPT', <Side.SELL: 2>)
1712714554023992391 ('EPT', <Side.BUY: 1>) 1 4842 0
1712714554023992393 ('MKU', <Side.BUY: 1>) 1 5615 0
1712714554023992415 ('IGM', <Side.SELL: 2>) 2 5780 0
[CANCELLED] 1712714554023992396 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992397 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992398 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992399 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992400 ('EPT', <Side.BUY: 1>)
1712714554023992417 ('IGM', <Side.SELL: 2>) 2 5800 0
[CANCELLED] 1712714554023992392 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992402 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992403 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992404 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992405 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992406 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992407 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992408 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992409 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992410 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992411 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992412 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992413 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992394 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992414 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992416 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992418 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992419 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992395 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992420 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992421 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992422 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992423 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992424 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992425 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992436 ('EPT', <Side.SELL: 2>)
1712714554023992450 ('IGM', <Side.SELL: 2>) 2 5804 -9
1712714554023992452 ('IGM', <Side.SELL: 2>) 2 5815 0
1712714554023992454 ('IGM', <Side.SELL: 2>) 2 5835 0
[CANCELLED] 1712714554023992426 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992431 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992432 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992433 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992434 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992435 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992427 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992437 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992438 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992439 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992440 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992441 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992442 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992428 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992443 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992444 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992445 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992446 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992447 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992448 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992429 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992449 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992451 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992453 ('IGM', <Side.BUY: 1>)
1712714554023992461 ('IGM', <Side.BUY: 1>) 1 5797 12
[CANCELLED] 1712714554023992430 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992455 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992456 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992457 ('BRV', <Side.BUY: 1>)
1712714554023992462 ('BRV', <Side.BUY: 1>) 1 5979 4
[REJECTED] 1712714554023992468 ('EPT', <Side.SELL: 2>)
1712714554023992487 ('BRV', <Side.BUY: 1>) 2 5963 0
1712714554023992481 ('IGM', <Side.BUY: 1>) 2 5789 0
1712714554023992460 ('MKU', <Side.BUY: 1>) 1 5619 0
1712714554023992459 ('DLO', <Side.BUY: 1>) 1 5274 0
1712714554023992475 ('MKU', <Side.BUY: 1>) 2 5599 0
1712714554023992489 ('BRV', <Side.BUY: 1>) 2 5943 0
1712714554023992477 ('MKU', <Side.BUY: 1>) 2 5579 0
1712714554023992483 ('IGM', <Side.BUY: 1>) 2 5769 0
1712714554023992491 ('BRV', <Side.BUY: 1>) 2 5923 0
1712714554023992469 ('DLO', <Side.BUY: 1>) 2 5254 0
1712714554023992458 ('EPT', <Side.BUY: 1>) 1 4831 0
1712714554023992479 ('MKU', <Side.BUY: 1>) 2 5559 0
[CANCELLED] 1712714554023992463 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992464 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992465 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992466 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992467 ('EPT', <Side.BUY: 1>)
1712714554023992493 ('EPT', <Side.BUY: 1>) 1 4831 6
[CANCELLED] 1712714554023992470 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992471 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992472 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992473 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992474 ('DLO', <Side.SELL: 2>)
1712714554023992494 ('DLO', <Side.BUY: 1>) 1 5242 11
[CANCELLED] 1712714554023992476 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992478 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992480 ('MKU', <Side.SELL: 2>)
1712714554023992495 ('MKU', <Side.BUY: 1>) 1 5553 16
[CANCELLED] 1712714554023992482 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992484 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992485 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992486 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992488 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992490 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992492 ('BRV', <Side.SELL: 2>)
1712714554023992497 ('BRV', <Side.BUY: 1>) 1 5874 34
1712714554023992510 ('MKU', <Side.BUY: 1>) 2 5540 9
1712714554023992522 ('BRV', <Side.BUY: 1>) 2 5874 14
1712714554023992498 ('EPT', <Side.BUY: 1>) 2 4817 0
1712714554023992517 ('IGM', <Side.SELL: 2>) 2 5792 0
1712714554023992519 ('IGM', <Side.SELL: 2>) 2 5812 0
1712714554023992521 ('IGM', <Side.SELL: 2>) 2 5832 0
1712714554023992523 ('BRV', <Side.SELL: 2>) 2 5933 0
1712714554023992500 ('EPT', <Side.BUY: 1>) 2 4797 0
1712714554023992525 ('BRV', <Side.SELL: 2>) 2 5953 0
[CANCELLED] 1712714554023992499 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992501 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992502 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992503 ('EPT', <Side.SELL: 2>)
1712714554023992528 ('EPT', <Side.BUY: 1>) 1 4781 17
[CANCELLED] 1712714554023992504 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992505 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992506 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992507 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992508 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992509 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992511 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992512 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992513 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992514 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992515 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992496 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992516 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992518 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992520 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992524 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992526 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992527 ('BRV', <Side.SELL: 2>)
1712714554023992552 ('IGM', <Side.SELL: 2>) 2 5876 -18
1712714554023992554 ('IGM', <Side.SELL: 2>) 2 5878 0
1712714554023992533 ('EPT', <Side.BUY: 1>) 2 4778 0
1712714554023992530 ('MKU', <Side.BUY: 1>) 1 5565 0
1712714554023992529 ('DLO', <Side.BUY: 1>) 1 5239 0
1712714554023992532 ('BRV', <Side.BUY: 1>) 1 5921 0
1712714554023992545 ('MKU', <Side.BUY: 1>) 2 5545 0
1712714554023992557 ('BRV', <Side.BUY: 1>) 2 5901 0
[CANCELLED] 1712714554023992534 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992535 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992536 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992537 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992538 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992539 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992540 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992541 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992542 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992543 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992544 ('DLO', <Side.SELL: 2>)
1712714554023992564 ('DLO', <Side.BUY: 1>) 1 5223 8
[CANCELLED] 1712714554023992546 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992547 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992548 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992549 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992550 ('MKU', <Side.SELL: 2>)
1712714554023992565 ('MKU', <Side.BUY: 1>) 1 5534 24
[CANCELLED] 1712714554023992531 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992551 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992553 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992555 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992556 ('IGM', <Side.SELL: 2>)
1712714554023992566 ('IGM', <Side.BUY: 1>) 1 5877 0
[CANCELLED] 1712714554023992558 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992559 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992560 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992561 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992562 ('BRV', <Side.SELL: 2>)
1712714554023992567 ('BRV', <Side.BUY: 1>) 1 5893 43
[REJECTED] 1712714554023992573 ('EPT', <Side.SELL: 2>)
1712714554023992580 ('MKU', <Side.BUY: 1>) 2 5534 4
1712714554023992592 ('BRV', <Side.BUY: 1>) 2 5893 23
1712714554023992594 ('BRV', <Side.BUY: 1>) 2 5893 3
1712714554023992596 ('BRV', <Side.BUY: 1>) 2 5876 0
1712714554023992586 ('IGM', <Side.BUY: 1>) 2 5857 0
1712714554023992582 ('MKU', <Side.BUY: 1>) 2 5518 0
1712714554023992588 ('IGM', <Side.BUY: 1>) 2 5837 0
1712714554023992574 ('DLO', <Side.BUY: 1>) 2 5211 0
1712714554023992569 ('EPT', <Side.SELL: 2>) 2 4792 0
1712714554023992584 ('MKU', <Side.BUY: 1>) 2 5498 0
1712714554023992590 ('IGM', <Side.BUY: 1>) 2 5817 0
1712714554023992576 ('DLO', <Side.BUY: 1>) 2 5191 0
[CANCELLED] 1712714554023992563 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992568 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992570 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992571 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992572 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992575 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992577 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992578 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992579 ('DLO', <Side.SELL: 2>)
1712714554023992599 ('DLO', <Side.BUY: 1>) 1 5193 0
[CANCELLED] 1712714554023992581 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992583 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992585 ('MKU', <Side.SELL: 2>)
