1712538233285271811 ('DLO', 'ASK') 1 5005
1712538233285272575 ('EPT', 'BID') 1 4890
1712538233285272568 ('DLO', 'ASK') 1 4909
1712538233285272497 ('DLO', 'ASK') 1 4910
1712538233285272511 ('DLO', 'ASK') 1 4940
1712538233285272533 ('DLO', 'ASK') 1 4942
1712538233285272558 ('DLO', 'ASK') 1 4942
1712538233285272548 ('DLO', 'ASK') 1 4950
1712538233285272521 ('DLO', 'ASK') 1 4952
1712538233285272578 ('DLO', 'ASK') 1 4914
1712538233285272579 ('MKU', 'BID') 1 4770
1712538233285272582 ('IGM', 'ASK') 1 5164
1712538233285272584 ('BRV', 'ASK') 1 6050
1712538233285272219 ('IGM', 'ASK') 1 5239
1712538233285272576 ('EPT', 'ASK') 1 4910
1712538233285272586 ('EPT', 'ASK') 1 4912
1712538233285272588 ('DLO', 'ASK') 1 4943
1712538233285272589 ('MKU', 'BID') 1 4723
1712538233285272592 ('IGM', 'ASK') 1 5236
1712538233285272593 ('BRV', 'BID') 1 6015
1712538233285272573 ('BRV', 'BID') 1 6014
1712538233285272594 ('BRV', 'ASK') 1 6017
1712538233285272596 ('EPT', 'ASK') 1 4932
1712538233285272598 ('DLO', 'ASK') 1 4943
1712538233285272599 ('MKU', 'BID') 1 4703
1712538233285272602 ('IGM', 'ASK') 1 5223
1712538233285272603 ('BRV', 'BID') 1 6040
1712538233285272604 ('BRV', 'ASK') 1 6073
1712538233285272493 ('BRV', 'ASK') 1 6099
1712538233285272608 ('EPT', 'ASK') 1 4978
1712538233285272610 ('DLO', 'ASK') 1 4933
1712538233285272611 ('MKU', 'BID') 1 4726
1712538233285272614 ('IGM', 'ASK') 1 5267
1712538233285272616 ('BRV', 'ASK') 1 6120
1712538233285272615 ('BRV', 'BID') 1 6070
1712538233285272625 ('EPT', 'ASK') 1 4993
1712538233285272627 ('DLO', 'ASK') 1 4936
1712538233285272628 ('MKU', 'BID') 1 4676
1712538233285272631 ('IGM', 'ASK') 1 5292
1712538233285272632 ('BRV', 'BID') 1 6061
1712538233285272642 ('EPT', 'ASK') 1 4965
1712538233285272644 ('DLO', 'ASK') 1 4929
1712538233285272645 ('MKU', 'BID') 1 4661
1712538233285272648 ('IGM', 'ASK') 1 5347
1712538233285272650 ('BRV', 'ASK') 1 6063
1712538233285272649 ('BRV', 'BID') 1 6051
1712538233285272643 ('DLO', 'BID') 1 4906
1712538233285272577 ('DLO', 'BID') 1 4891
1712538233285272209 ('IGM', 'ASK') 1 5392
1712538233285272199 ('IGM', 'ASK') 1 5411
1712538233285272609 ('DLO', 'BID') 1 4882
1712538233285272658 ('EPT', 'ASK') 1 5010
1712538233285272659 ('DLO', 'BID') 1 4882
1712538233285272661 ('MKU', 'BID') 1 4560
1712538233285272664 ('IGM', 'ASK') 1 5390
1712538233285272666 ('BRV', 'ASK') 1 6032
1712538233285272587 ('DLO', 'BID') 1 4880
1712538233285272175 ('IGM', 'ASK') 1 5415
1712538233285272597 ('DLO', 'BID') 1 4864
1712538233285272674 ('EPT', 'ASK') 1 5034
1712538233285272675 ('DLO', 'BID') 1 4864
1712538233285272677 ('MKU', 'BID') 1 4557
1712538233285272680 ('IGM', 'ASK') 1 5431
1712538233285272681 ('BRV', 'BID') 1 6052
1712538233285272690 ('EPT', 'ASK') 1 5037
1712538233285272691 ('DLO', 'BID') 1 4868
1712538233285272693 ('MKU', 'BID') 1 4544
1712538233285272696 ('IGM', 'ASK') 1 5418
1712538233285272697 ('BRV', 'BID') 1 6024
1712538233285272665 ('BRV', 'BID') 1 6011
1712538233285272626 ('DLO', 'BID') 1 4860
1712538233285272259 ('IGM', 'ASK') 1 5498
1712538233285272155 ('IGM', 'ASK') 1 5499
1712538233285272165 ('IGM', 'ASK') 1 5506
1712538233285272145 ('IGM', 'ASK') 1 5527
1712538233285272707 ('EPT', 'ASK') 1 5041
1712538233285272708 ('DLO', 'BID') 1 4857
1712538233285272710 ('MKU', 'BID') 1 4549
1712538233285272713 ('IGM', 'ASK') 1 5527
1712538233285272714 ('BRV', 'BID') 1 5981
1712538233285272387 ('DLO', 'BID') 1 4848
1712538233285272105 ('IGM', 'ASK') 1 5544
1712538233285272583 ('BRV', 'BID') 1 5945
1712538233285272425 ('BRV', 'BID') 1 5938
1712538233285272095 ('IGM', 'ASK') 1 5561
1712538233285271812 ('MKU', 'BID') 1 4499
1712538233285272724 ('EPT', 'ASK') 1 5053
1712538233285272725 ('DLO', 'BID') 1 4831
1712538233285272727 ('MKU', 'BID') 1 4495
1712538233285272730 ('IGM', 'ASK') 1 5578
1712538233285272731 ('BRV', 'BID') 1 5977
1712538233285272371 ('DLO', 'BID') 1 4826
1712538233285272354 ('DLO', 'BID') 1 4807
1712538233285272338 ('DLO', 'BID') 1 4800
1712538233285272320 ('DLO', 'BID') 1 4800
1712538233285272008 ('IGM', 'ASK') 1 5599
1712538233285272742 ('DLO', 'BID') 1 4792
1712538233285272744 ('MKU', 'BID') 1 4535
1712538233285272747 ('IGM', 'ASK') 1 5584
1712538233285272748 ('BRV', 'BID') 1 5984
1712538233285272270 ('DLO', 'BID') 1 4791
1712538233285272740 ('EPT', 'BID') 1 5038
1712538233285271995 ('IGM', 'ASK') 1 5609
1712538233285271985 ('IGM', 'ASK') 1 5610
1712538233285272745 ('MKU', 'ASK') 1 4543
1712538233285272758 ('EPT', 'BID') 1 5029
1712538233285272760 ('DLO', 'BID') 1 4788
1712538233285272765 ('IGM', 'ASK') 1 5612
1712538233285272766 ('BRV', 'BID') 1 5936
1712538233285272763 ('MKU', 'ASK') 1 4548
1712538233285272516 ('BRV', 'BID') 1 5861
1712538233285272728 ('MKU', 'ASK') 1 4570
1712538233285272775 ('EPT', 'BID') 1 5034
1712538233285272777 ('DLO', 'BID') 1 4793
1712538233285272780 ('MKU', 'ASK') 1 4571
1712538233285272782 ('IGM', 'ASK') 1 5614
1712538233285272783 ('BRV', 'BID') 1 5839
1712538233285272762 ('MKU', 'BID') 1 4543
1712538233285272779 ('MKU', 'BID') 1 4519
1712538233285272781 ('IGM', 'BID') 1 5583
1712538233285272794 ('DLO', 'ASK') 1 4790
1712538233285272795 ('MKU', 'BID') 1 4500
1712538233285272797 ('IGM', 'BID') 1 5581
1712538233285272799 ('BRV', 'BID') 1 5869
1712538233285272792 ('EPT', 'ASK') 1 5028
1712538233285272741 ('EPT', 'ASK') 1 5042
1712538233285272759 ('EPT', 'ASK') 1 5046
1712538233285272776 ('EPT', 'ASK') 1 5051
1712538233285272808 ('EPT', 'ASK') 1 5049
1712538233285272810 ('DLO', 'ASK') 1 4799
1712538233285272811 ('MKU', 'BID') 1 4472
1712538233285272813 ('IGM', 'BID') 1 5569
1712538233285272815 ('BRV', 'BID') 1 5801
1712538233285272240 ('BRV', 'BID') 1 5790
1712538233285272230 ('BRV', 'BID') 1 5750
1712538233285272210 ('BRV', 'BID') 1 5711
1712538233285272778 ('DLO', 'ASK') 1 4805
1712538233285272826 ('EPT', 'ASK') 1 5107
1712538233285272828 ('DLO', 'ASK') 1 4808
1712538233285272829 ('MKU', 'BID') 1 4458
1712538233285272831 ('IGM', 'BID') 1 5548
1712538233285272833 ('BRV', 'BID') 1 5696
1712538233285272764 ('IGM', 'BID') 1 5533
1712538233285272827 ('DLO', 'BID') 1 4800
1712538233285272830 ('MKU', 'ASK') 1 4476
1712538233285272156 ('BRV', 'BID') 1 5613
1712538233285272166 ('BRV', 'BID') 1 5575
1712538233285272049 ('BRV', 'BID') 1 5560
1712538233285272842 ('EPT', 'ASK') 1 5147
1712538233285272843 ('DLO', 'BID') 1 4808
1712538233285272846 ('MKU', 'ASK') 1 4484
1712538233285272847 ('IGM', 'BID') 1 5509
1712538233285272849 ('BRV', 'BID') 1 5605
1712538233285272844 ('DLO', 'ASK') 1 4812
1712538233285272039 ('BRV', 'BID') 1 5511
1712538233285272858 ('EPT', 'ASK') 1 5173
1712538233285272860 ('DLO', 'ASK') 1 4821
1712538233285272861 ('MKU', 'BID') 1 4469
1712538233285272863 ('IGM', 'BID') 1 5460
1712538233285272865 ('BRV', 'BID') 1 5494
1712538233285272845 ('MKU', 'BID') 1 4457
1712538233285272864 ('IGM', 'ASK') 1 5516
1712538233285272873 ('EPT', 'BID') 1 5188
1712538233285272876 ('DLO', 'ASK') 1 4835
1712538233285272877 ('MKU', 'BID') 1 4406
1712538233285272880 ('IGM', 'ASK') 1 5505
1712538233285272882 ('BRV', 'ASK') 1 5536
1712538233285272848 ('IGM', 'ASK') 1 5541
1712538233285272874 ('EPT', 'ASK') 1 5200
1712538233285272869 ('SCP', 'ASK') 30 5373
1712538233285272869 ('SCP', 'ASK') 30 5373
1712538233285272871 ('SCP', 'ASK') 40 5375
1712538233285272832 ('IGM', 'ASK') 1 5573
1712538233285272890 ('EPT', 'ASK') 1 5221
1712538233285272891 ('DLO', 'BID') 1 4838
1712538233285272894 ('MKU', 'ASK') 1 4410
1712538233285272896 ('IGM', 'ASK') 1 5553
1712538233285272898 ('BRV', 'ASK') 1 5569
1712538233285272814 ('IGM', 'ASK') 1 5588
1712538233285272892 ('DLO', 'ASK') 1 4844
1712538233285272897 ('BRV', 'BID') 1 5533
1712538233285272881 ('BRV', 'BID') 1 5488
1712538233285272220 ('BRV', 'BID') 1 5484
1712538233285272029 ('BRV', 'BID') 1 5483
1712538233285272798 ('IGM', 'ASK') 1 5613
1712538233285272018 ('IGM', 'ASK') 1 5624
1712538233285272028 ('IGM', 'ASK') 1 5646
1712538233285271895 ('IGM', 'ASK') 1 5660
1712538233285271885 ('IGM', 'ASK') 1 5689
1712538233285271875 ('IGM', 'ASK') 1 5699
1712538233285272893 ('MKU', 'BID') 1 4391
1712538233285272726 ('DLO', 'ASK') 1 4863
1712538233285272743 ('DLO', 'ASK') 1 4867
1712538233285272905 ('EPT', 'BID') 1 5203
1712538233285272908 ('DLO', 'ASK') 1 4886
1712538233285272910 ('MKU', 'ASK') 1 4417
1712538233285272912 ('IGM', 'ASK') 1 5714
1712538233285272913 ('BRV', 'BID') 1 5497
1712538233285272906 ('EPT', 'ASK') 1 5222
1712538233285272909 ('MKU', 'BID') 1 4407
1712538233285272761 ('DLO', 'ASK') 1 4903
1712538233285272922 ('EPT', 'BID') 1 5235
1712538233285272925 ('DLO', 'ASK') 1 4872
1712538233285272929 ('IGM', 'ASK') 1 5704
1712538233285272931 ('BRV', 'ASK') 1 5543
1712538233285272914 ('BRV', 'ASK') 1 5554
1712538233285272927 ('MKU', 'ASK') 1 4393
1712538233285272924 ('DLO', 'BID') 1 4858
1712538233285271865 ('IGM', 'ASK') 1 5715
1712538233285272940 ('DLO', 'BID') 1 4859
1712538233285272943 ('MKU', 'ASK') 1 4416
1712538233285272945 ('IGM', 'ASK') 1 5729
1712538233285272938 ('EPT', 'BID') 1 5219
1712538233285272947 ('BRV', 'ASK') 1 5541
1712538233285271855 ('IGM', 'ASK') 1 5745
1712538233285272942 ('MKU', 'BID') 1 4409
1712538233285272954 ('EPT', 'BID') 1 5210
1712538233285272956 ('DLO', 'BID') 1 4847
1712538233285272958 ('MKU', 'BID') 1 4399
1712538233285272961 ('IGM', 'ASK') 1 5792
1712538233285272962 ('BRV', 'BID') 1 5518
1712538233285272959 ('MKU', 'ASK') 1 4403
1712538233285272939 ('EPT', 'ASK') 1 5221
1712538233285272963 ('BRV', 'ASK') 1 5564
1712538233285272971 ('EPT', 'ASK') 1 5227
1712538233285272972 ('DLO', 'BID') 1 4854
1712538233285272974 ('MKU', 'BID') 1 4397
1712538233285272977 ('IGM', 'ASK') 1 5909
1712538233285272979 ('BRV', 'ASK') 1 5574
1712538233285272866 ('BRV', 'ASK') 1 5575
1712538233285272926 ('MKU', 'BID') 1 4391
1712538233285272955 ('EPT', 'ASK') 1 5237
1712538233285272987 ('EPT', 'ASK') 1 5237
1712538233285272989 ('DLO', 'ASK') 1 4846
1712538233285272991 ('MKU', 'ASK') 1 4417
1712538233285272993 ('IGM', 'ASK') 1 5966
1712538233285272995 ('BRV', 'ASK') 1 5671
1712538233285272988 ('DLO', 'BID') 1 4841
1712538233285272907 ('DLO', 'BID') 1 4838
1712538233285272990 ('MKU', 'BID') 1 4399
1712538233285272923 ('EPT', 'ASK') 1 5251
1712538233285272875 ('DLO', 'BID') 1 4832
1712538233285272859 ('DLO', 'BID') 1 4811
1712538233285273003 ('EPT', 'ASK') 1 5252
1712538233285273004 ('DLO', 'BID') 1 4807
1712538233285273007 ('MKU', 'ASK') 1 4411
1712538233285273009 ('IGM', 'ASK') 1 5921
1712538233285273011 ('BRV', 'ASK') 1 5664
1712538233285272975 ('MKU', 'ASK') 1 4424
1712538233285273019 ('EPT', 'ASK') 1 5268
1712538233285273020 ('DLO', 'BID') 1 4798
1712538233285273023 ('MKU', 'ASK') 1 4425
1712538233285273025 ('IGM', 'ASK') 1 5979
1712538233285273026 ('BRV', 'BID') 1 5593
1712538233285273030 ('SCP', 'ASK') 30 5591
1712538233285273030 ('SCP', 'ASK') 40 5590
1712538233285272809 ('DLO', 'BID') 1 4792
1712538233285273010 ('BRV', 'BID') 1 5550
1712538233285273018 ('EPT', 'BID') 1 5230
1712538233285273002 ('EPT', 'BID') 1 5219
1712538233285272986 ('EPT', 'BID') 1 5207
1712538233285273043 ('EPT', 'BID') 1 5207
1712538233285273045 ('DLO', 'BID') 1 4792
1712538233285273048 ('MKU', 'ASK') 1 4420
1712538233285273047 ('MKU', 'BID') 1 4417
1712538233285273050 ('IGM', 'ASK') 1 6001
1712538233285273051 ('BRV', 'BID') 1 5587
1712538233285272878 ('MKU', 'ASK') 1 4448
1712538233285273059 ('EPT', 'BID') 1 5237
1712538233285273061 ('DLO', 'BID') 1 4794
1712538233285273064 ('MKU', 'ASK') 1 4449
1712538233285273066 ('IGM', 'ASK') 1 5977
1712538233285273067 ('BRV', 'BID') 1 5592
1712538233285273049 ('IGM', 'BID') 1 5964
1712538233285273044 ('EPT', 'ASK') 1 5240
1712538233285273078 ('DLO', 'BID') 1 4799
1712538233285273081 ('MKU', 'ASK') 1 4456
1712538233285273083 ('IGM', 'ASK') 1 5966
1712538233285273084 ('BRV', 'BID') 1 5551
1712538233285273076 ('EPT', 'BID') 1 5254
1712538233285272978 ('BRV', 'BID') 1 5531
1712538233285272994 ('BRV', 'BID') 1 5518
1712538233285272930 ('BRV', 'BID') 1 5505
1712538233285272946 ('BRV', 'BID') 1 5498
1712538233285272009 ('BRV', 'BID') 1 5438
1712538233285272019 ('BRV', 'BID') 1 5423
1712538233285272970 ('EPT', 'BID') 1 5201
1712538233285273092 ('EPT', 'BID') 1 5198
1712538233285273094 ('DLO', 'BID') 1 4796
1712538233285273097 ('MKU', 'ASK') 1 4457
1712538233285273100 ('BRV', 'BID') 1 5431
1712538233285273098 ('IGM', 'BID') 1 5949
1712538233285273099 ('IGM', 'ASK') 1 5951
1712538233285272889 ('EPT', 'BID') 1 5181
1712538233285271996 ('BRV', 'BID') 1 5390
1712538233285273079 ('DLO', 'ASK') 1 4807
1712538233285273095 ('DLO', 'ASK') 1 4808
1712538233285273108 ('EPT', 'BID') 1 5181
1712538233285273111 ('DLO', 'ASK') 1 4808
1712538233285273113 ('MKU', 'ASK') 1 4468
1712538233285273115 ('IGM', 'ASK') 1 6025
1712538233285273116 ('BRV', 'BID') 1 5428
1712538233285273110 ('DLO', 'BID') 1 4796
1712538233285272862 ('MKU', 'ASK') 1 4491
1712538233285273125 ('EPT', 'BID') 1 5159
1712538233285273127 ('DLO', 'BID') 1 4787
1712538233285273130 ('MKU', 'ASK') 1 4507
1712538233285273132 ('IGM', 'ASK') 1 6032
1712538233285273133 ('BRV', 'BID') 1 5529
1712538233285273134 ('BRV', 'ASK') 1 5553
1712538233285273141 ('EPT', 'BID') 1 5191
1712538233285273144 ('DLO', 'ASK') 1 4791
1712538233285273146 ('MKU', 'ASK') 1 4478
1712538233285273148 ('IGM', 'ASK') 1 6060
1712538233285273149 ('BRV', 'BID') 1 5526
1712538233285273128 ('DLO', 'ASK') 1 4792
1712538233285273129 ('MKU', 'BID') 1 4434
1712538233285273096 ('MKU', 'BID') 1 4432
1712538233285273112 ('MKU', 'BID') 1 4430
1712538233285273062 ('DLO', 'ASK') 1 4819
1712538233285273157 ('EPT', 'BID') 1 5182
1712538233285273160 ('DLO', 'ASK') 1 4844
1712538233285273161 ('MKU', 'BID') 1 4424
1712538233285273164 ('IGM', 'ASK') 1 6028
1712538233285273166 ('BRV', 'ASK') 1 5570
1712538233285273145 ('MKU', 'BID') 1 4423
1712538233285273150 ('BRV', 'ASK') 1 5583
1712538233285273117 ('BRV', 'ASK') 1 5604
1712538233285273162 ('MKU', 'ASK') 1 4443
1712538233285273173 ('EPT', 'BID') 1 5170
1712538233285273176 ('DLO', 'ASK') 1 4835
1712538233285273177 ('MKU', 'BID') 1 4443
1712538233285273180 ('IGM', 'ASK') 1 6033
1712538233285273182 ('BRV', 'ASK') 1 5626
1712538233285273005 ('DLO', 'ASK') 1 4849
1712538233285273046 ('DLO', 'ASK') 1 4852
1712538233285273021 ('DLO', 'ASK') 1 4856
1712538233285273178 ('MKU', 'ASK') 1 4460
1712538233285273190 ('EPT', 'BID') 1 5130
1712538233285273193 ('DLO', 'ASK') 1 4842
1712538233285273197 ('IGM', 'ASK') 1 6033
1712538233285273165 ('BRV', 'BID') 1 5564
1712538233285273199 ('BRV', 'ASK') 1 5564
1712538233285273194 ('MKU', 'BID') 1 4456
1712538233285272957 ('DLO', 'ASK') 1 4860
1712538233285272973 ('DLO', 'ASK') 1 4862
1712538233285273207 ('EPT', 'BID') 1 5161
1712538233285273210 ('DLO', 'ASK') 1 4881
1712538233285273214 ('IGM', 'ASK') 1 6083
1712538233285273216 ('BRV', 'ASK') 1 5611
1712538233285273142 ('EPT', 'ASK') 1 5213
1712538233285273212 ('MKU', 'ASK') 1 4452
1712538233285273198 ('BRV', 'BID') 1 5545
1712538233285273195 ('MKU', 'ASK') 1 4460
1712538233285273181 ('BRV', 'BID') 1 5532
1712538233285273225 ('EPT', 'ASK') 1 5217
1712538233285273227 ('DLO', 'ASK') 1 4892
1712538233285273229 ('MKU', 'ASK') 1 4468
1712538233285273231 ('IGM', 'ASK') 1 6086
1712538233285273233 ('BRV', 'ASK') 1 5524
1712538233285273215 ('BRV', 'BID') 1 5491
1712538233285273242 ('EPT', 'ASK') 1 5212
1712538233285273244 ('DLO', 'ASK') 1 4853
1712538233285273246 ('MKU', 'ASK') 1 4482
1712538233285273248 ('IGM', 'ASK') 1 6083
1712538233285273250 ('BRV', 'ASK') 1 5493
1712538233285273232 ('BRV', 'BID') 1 5418
1712538233285273249 ('BRV', 'BID') 1 5417
1712538233285271976 ('BRV', 'BID') 1 5386
1712538233285271986 ('BRV', 'BID') 1 5380
1712538233285273258 ('EPT', 'ASK') 1 5192
1712538233285273260 ('DLO', 'ASK') 1 4845
1712538233285273262 ('MKU', 'ASK') 1 4498
1712538233285273264 ('IGM', 'ASK') 1 6148
1712538233285273265 ('BRV', 'BID') 1 5378
1712538233285273224 ('EPT', 'BID') 1 5191
1712538233285273241 ('EPT', 'BID') 1 5189
1712538233285273266 ('BRV', 'ASK') 1 5421
1712538233285273275 ('EPT', 'ASK') 1 5186
1712538233285273277 ('DLO', 'ASK') 1 4829
1712538233285273279 ('MKU', 'ASK') 1 4516
1712538233285273281 ('IGM', 'ASK') 1 6131
1712538233285273282 ('BRV', 'BID') 1 5450
1712538233285273283 ('BRV', 'ASK') 1 5454
1712538233285273291 ('EPT', 'ASK') 1 5216
1712538233285273293 ('DLO', 'ASK') 1 4833
1712538233285273297 ('IGM', 'ASK') 1 6204
1712538233285273295 ('MKU', 'ASK') 1 4506
1712538233285273298 ('BRV', 'BID') 1 5421
1712538233285273294 ('MKU', 'BID') 1 4504
1712538233285273174 ('EPT', 'ASK') 1 5228
1712538233285273208 ('EPT', 'ASK') 1 5231
1712538233285273158 ('EPT', 'ASK') 1 5239
1712538233285273126 ('EPT', 'ASK') 1 5244
1712538233285273307 ('EPT', 'ASK') 1 5252
1712538233285273309 ('DLO', 'ASK') 1 4838
1712538233285273311 ('MKU', 'ASK') 1 4524
1712538233285273313 ('IGM', 'ASK') 1 6170
1712538233285273314 ('BRV', 'BID') 1 5405
1712538233285273191 ('EPT', 'ASK') 1 5253
1712538233285273077 ('EPT', 'ASK') 1 5258
1712538233285273093 ('EPT', 'ASK') 1 5258
1712538233285273060 ('EPT', 'ASK') 1 5263
1712538233285273310 ('MKU', 'BID') 1 4487
1712538233285273278 ('MKU', 'BID') 1 4486
1712538233285273261 ('MKU', 'BID') 1 4468
1712538233285273109 ('EPT', 'ASK') 1 5270
1712538233285273323 ('EPT', 'ASK') 1 5262
1712538233285273325 ('DLO', 'ASK') 1 4841
1712538233285273329 ('IGM', 'ASK') 1 6094
1712538233285273330 ('BRV', 'BID') 1 5387
1712538233285273326 ('MKU', 'BID') 1 4465
1712538233285273327 ('MKU', 'ASK') 1 4467
1712538233285271966 ('BRV', 'BID') 1 5338
1712538233285271916 ('BRV', 'BID') 1 5327
1712538233285273339 ('EPT', 'ASK') 1 5267
1712538233285273341 ('DLO', 'ASK') 1 4875
1712538233285273343 ('MKU', 'ASK') 1 4486
1712538233285273345 ('IGM', 'ASK') 1 6078
1712538233285273346 ('BRV', 'BID') 1 5294
1712538233285271946 ('BRV', 'BID') 1 5279
1712538233285271956 ('BRV', 'BID') 1 5271
1712538233285273328 ('IGM', 'BID') 1 6060
1712538233285273312 ('IGM', 'BID') 1 6057
1712538233285273280 ('IGM', 'BID') 1 6048
1712538233285273296 ('IGM', 'BID') 1 6036
1712538233285271926 ('BRV', 'BID') 1 5246
1712538233285271936 ('BRV', 'BID') 1 5200
1712538233285273263 ('IGM', 'BID') 1 6025
1712538233285273344 ('IGM', 'BID') 1 6020
1712538233285273355 ('EPT', 'ASK') 1 5252
1712538233285273357 ('DLO', 'ASK') 1 4897
1712538233285273359 ('MKU', 'ASK') 1 4523
1712538233285273360 ('IGM', 'BID') 1 6005
1712538233285273362 ('BRV', 'BID') 1 5204
1712538233285273147 ('IGM', 'BID') 1 6001
1712538233285273213 ('IGM', 'BID') 1 5998
1712538233285272941 ('DLO', 'ASK') 1 4899
1712538233285273131 ('IGM', 'BID') 1 5981
1712538233285273230 ('IGM', 'BID') 1 5977
1712538233285273114 ('IGM', 'BID') 1 5977
1712538233285273163 ('IGM', 'BID') 1 5975
1712538233285273196 ('IGM', 'BID') 1 5967
1712538233285273179 ('IGM', 'BID') 1 5952
1712538233285272709 ('DLO', 'ASK') 1 4904
1712538233285273247 ('IGM', 'BID') 1 5951
1712538233285273065 ('IGM', 'BID') 1 5932
1712538233285273082 ('IGM', 'BID') 1 5921
1712538233285272676 ('DLO', 'ASK') 1 4937
1712538233285273008 ('IGM', 'BID') 1 5900
1712538233285273371 ('EPT', 'ASK') 1 5221
1712538233285273373 ('DLO', 'ASK') 1 4916
1712538233285273375 ('MKU', 'ASK') 1 4524
1712538233285273376 ('IGM', 'BID') 1 5898
1712538233285273378 ('BRV', 'BID') 1 5218
1712538233285272660 ('DLO', 'ASK') 1 4943
1712538233285272692 ('DLO', 'ASK') 1 4943
1712538233285273338 ('EPT', 'BID') 1 5200
1712538233285273388 ('EPT', 'ASK') 1 5200
1712538233285273390 ('DLO', 'ASK') 1 4956
1712538233285273392 ('MKU', 'ASK') 1 4509
1712538233285273393 ('IGM', 'BID') 1 5871
1712538233285273395 ('BRV', 'BID') 1 5226
1712538233285272812 ('MKU', 'ASK') 1 4545
1712538233285272796 ('MKU', 'ASK') 1 4550
1712538233285273322 ('EPT', 'BID') 1 5195
1712538233285273257 ('EPT', 'BID') 1 5176
1712538233285273354 ('EPT', 'BID') 1 5175
1712538233285273306 ('EPT', 'BID') 1 5173
1712538233285273274 ('EPT', 'BID') 1 5173
1712538233285273370 ('EPT', 'BID') 1 5167
1712538233285273290 ('EPT', 'BID') 1 5157
1712538233285273387 ('EPT', 'BID') 1 5151
1712538233285272841 ('EPT', 'BID') 1 5116
1712538233285273405 ('EPT', 'BID') 1 5114
1712538233285273408 ('DLO', 'ASK') 1 4956
1712538233285273410 ('MKU', 'ASK') 1 4584
1712538233285273411 ('IGM', 'BID') 1 5911
1712538233285273413 ('BRV', 'BID') 1 5258
1712538233285273422 ('EPT', 'BID') 1 5088
1712538233285273425 ('DLO', 'ASK') 1 4932
1712538233285273427 ('MKU', 'ASK') 1 4505
1712538233285273428 ('IGM', 'BID') 1 5913
1712538233285273430 ('BRV', 'BID') 1 5275
1712538233285273377 ('IGM', 'ASK') 1 6029
1712538233285273361 ('IGM', 'ASK') 1 6033
1712538233285273394 ('IGM', 'ASK') 1 6037
1712538233285273412 ('IGM', 'ASK') 1 6037
1712538233285273429 ('IGM', 'ASK') 1 6076
1712538233285273438 ('EPT', 'BID') 1 5090
1712538233285273441 ('DLO', 'ASK') 1 4937
1712538233285273443 ('MKU', 'ASK') 1 4510
1712538233285273445 ('IGM', 'ASK') 1 6104
1712538233285273446 ('BRV', 'BID') 1 5210
1712538233285273454 ('EPT', 'BID') 1 5066
1712538233285273457 ('DLO', 'ASK') 1 4918
1712538233285273459 ('MKU', 'ASK') 1 4533
1712538233285273461 ('IGM', 'ASK') 1 6105
1712538233285273462 ('BRV', 'BID') 1 5171
1712538233285272711 ('MKU', 'ASK') 1 4607
1712538233285272825 ('EPT', 'BID') 1 5039
1712538233285273470 ('EPT', 'BID') 1 5045
1712538233285273473 ('DLO', 'ASK') 1 4923
1712538233285273475 ('MKU', 'ASK') 1 4596
1712538233285273477 ('IGM', 'ASK') 1 6198
1712538233285273478 ('BRV', 'BID') 1 5222
1712538233285273486 ('EPT', 'BID') 1 5055
1712538233285273489 ('DLO', 'ASK') 1 4937
1712538233285273491 ('MKU', 'ASK') 1 4607
1712538233285273493 ('IGM', 'ASK') 1 6292
1712538233285273494 ('BRV', 'BID') 1 5293
1712538233285272694 ('MKU', 'ASK') 1 4676
1712538233285272678 ('MKU', 'ASK') 1 4716
1712538233285272662 ('MKU', 'ASK') 1 4717
1712538233285272629 ('MKU', 'ASK') 1 4723
1712538233285273502 ('EPT', 'BID') 1 5092
1712538233285273505 ('DLO', 'ASK') 1 4957
1712538233285273507 ('MKU', 'ASK') 1 4696
1712538233285273509 ('IGM', 'ASK') 1 6373
1712538233285273510 ('BRV', 'BID') 1 5222
1712538233285272612 ('MKU', 'ASK') 1 4759
1712538233285272646 ('MKU', 'ASK') 1 4775
1712538233285273519 ('EPT', 'BID') 1 5110
1712538233285273522 ('DLO', 'ASK') 1 4940
1712538233285273524 ('MKU', 'ASK') 1 4774
1712538233285273526 ('IGM', 'ASK') 1 6371
1712538233285273527 ('BRV', 'BID') 1 5235
1712538233285273423 ('EPT', 'ASK') 1 5127
1712538233285273536 ('EPT', 'BID') 1 5126
1712538233285273539 ('DLO', 'ASK') 1 4949
1712538233285273541 ('MKU', 'ASK') 1 4755
1712538233285273543 ('IGM', 'ASK') 1 6309
1712538233285273544 ('BRV', 'BID') 1 5305
1712538233285272600 ('MKU', 'ASK') 1 4801
1712538233285273552 ('EPT', 'BID') 1 5098
1712538233285273555 ('DLO', 'ASK') 1 4931
1712538233285273557 ('MKU', 'ASK') 1 4805
1712538233285273559 ('IGM', 'ASK') 1 6272
1712538233285273560 ('BRV', 'BID') 1 5338
1712538233285273571 ('EPT', 'BID') 1 5071
1712538233285273574 ('DLO', 'ASK') 1 4943
1712538233285273576 ('MKU', 'ASK') 1 4822
1712538233285273578 ('IGM', 'ASK') 1 6269
1712538233285273579 ('BRV', 'BID') 1 5166
1712538233285271991 ('DLO', 'ASK') 1 4969
1712538233285273587 ('EPT', 'BID') 1 5064
1712538233285273590 ('DLO', 'ASK') 1 4990
1712538233285273592 ('MKU', 'ASK') 1 4835
